Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number)
"Ching, CW; Chen, X; Kim, T; Kuo, JJ; Da Silva, D; Hu, LT",Totoro+: An Adaptive and Scalable Edge Federated Learning System,2026,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,0,10.1109/TPDS.2026.3696917,Article,,WOS:001785950600001
"Kumar, V; Niazi, MA; Sajid, Q; Koondhar, MA; Kim, YS; Zainuri, MAAM; Alkoradees, AF",A Federated Learning Framework for Proactive Congestion Management in Blockchain-Based P2P Energy Markets,2026,IEEE ACCESS,3,10.1109/ACCESS.2026.3669942,Article,,WOS:001714484200001
"Nanor, E; Yang, QL; Kobiah, C; Hossin, MA; Cobbinah, BM; Din, SU; Atwereboannah, AA; Juhar, M; Shao, JM",Federated learning with transient central initialization and decentralized edge aggregation,2026,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2,10.1016/j.engappai.2025.113527,Article,,WOS:001643950100001
"Abed, S; Sabar, NR; Mahmood, A",T-Flash: Topology-flexible latency-aware scheduling for hierarchical decentralized federated learning,2026,INFORMATION FUSION,1,10.1016/j.inffus.2025.103858,Article,,WOS:001607082900001
"Allen, A; Mylonas, A; Vidalis, S; Pitropakis, N",Peer-to-Peer Federated Learning: A Comprehensive Survey,2026,AI,0,10.3390/ai7070243,Article,,WOS:001831385400001
"Fernandes, BJT; Freire, A; de Andrade, JVR; Silva, LHS; Navarro-Guerrero, N",FedP2PAvg: A Peer-to-Peer Collaborative Framework for Federated Learning in Non-IID Scenarios,2026,"ARTIFICIAL NEURAL NETWORKS AND MACHINE LEARNING-ICANN 2025, PT I",0,10.1007/978-3-032-04558-4_31,Proceedings Paper,,WOS:001676482800031
"Beis-Penedo, C; Diaz-Redondo, RP; Fernández-Vilas, A; Fernández-Veiga, M; Troncoso-Pastoriza, F",HLF-FSL: A decentralized federated split learning solution for IoT on hyperledger fabric,2026,ARRAY,1,10.1016/j.array.2026.100685,Article,,WOS:001679868500002
"Duan, MJ; Zhang, XN; Fan, L; Liu, YJ; Jiang, JY; Zhang, HJ",Joint Communication Topology Reconstruction and Parameter Filtering for Heterogeneous Decentralized Federated Learning,2026,IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING,0,10.1109/TCCN.2026.3662666,Article,,WOS:001702849200002
"Sidhom, J; Saidi, L; Bechhoefer, E",Decentralized Federated Learning for Wind Turbine Bearing Prognostics Under Data Scarcity and Statistical Heterogeneity,2026,ENERGY SCIENCE & ENGINEERING,0,10.1002/ese3.70551,Article,,WOS:001760349900001
"Zhao, BW; Guo, WB; Chen, JH; Xiao, Y; Zhai, L; Pei, QQ",FedInf: An Efficient and Secure Inference With Federated Participants,2026,IEEE TRANSACTIONS ON COMPUTERS,0,10.1109/TC.2025.3642408,Article,,WOS:001690579300031
"Tang, ZY; Sui, DY; Sun, HR; Leng, SY",Stubbornness-Aware Peer-to-Peer Bayesian Federated Learning Over Graphs,2026,IEEE TRANSACTIONS ON MACHINE LEARNING IN COMMUNICATIONS AND NETWORKING,0,10.1109/TMLCN.2026.3710445,Article,,WOS:001817203100002
"Joshi, P; Kadlaskar, K",Privacy Threat Modeling for Federated Learning,2026,"INFORMATION SECURITY, PRIVACY AND DIGITAL FORENSICS, ICISPD 2024",0,10.1007/978-981-95-2196-8_13,Proceedings Paper,,WOS:001733897900013
"Wang, YS; Lu, Y; Ni, Q",Robust and Privacy-Preserving Decentralized Online Federated Learning for Streaming Data With Outliers,2026,IEEE INTERNET OF THINGS JOURNAL,0,10.1109/JIOT.2026.3705543,Article,,WOS:001866774100048
"Braun, C; Guidoni, DL; de Souza, AM",Using Federated Learning to Develop Congestion Control Solutions for Intelligent Transportation Systems,2026,JOURNAL OF INTERNET SERVICES AND APPLICATIONS,0,10.5753/jisa.2026.7087,Article,,WOS:001839473900001
"Taherpour, A; Wang, XD",ZK-HybridFL: Zero-Knowledge Proof-Enhanced Hybrid Ledger for Federated Learning,2026,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,0,10.1109/TNNLS.2026.3658993,Article,,WOS:001696613700001
"Deliktas, B; Tariq, A",Physics-informed federated scientific machine learning for constitutive modeling under heterogeneous and decentralized data conditions,2026,COMPUTERS & STRUCTURES,0,10.1016/j.compstruc.2026.108419,Article,,WOS:001863811400001
"Taya, A; Nishiyama, Y; Sezaki, K",Function-Space ADMM for Decentralized Federated Learning: A Control Theoretic Perspective,2026,IEEE INTERNET OF THINGS JOURNAL,0,10.1109/JIOT.2026.3690200,Article,,WOS:001815208100047
"Vincent; Surantha, N",Federated Deep Learning and Real-Time Inference on Edge Computing Device for Skin Cancer Classification,2026,APPLIED SCIENCES-BASEL,1,10.3390/app16052289,Article,,WOS:001713310200001
"Wang, X; Chen, YZ; Ye, Q; Son, J; Dobre, OA",DOCAttack: Data-Oriented Community Attack in Decentralized Federated Learning,2026,IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING,0,10.1109/TNSE.2026.3702609,Article,,WOS:001820991100007
"Yang, CY; Tan, WT; Chen, YX; Yang, YB; Wen, JG; Xie, K; Chen, XY; Liu, TX",FedSND: Federated Learning with Symmetric Noise Decentralized Orthogonal Encryption,2026,"SECURITY AND PRIVACY IN COMMUNICATION NETWORKS, SECURECOMM 2025, PT II",0,10.1007/978-3-032-23450-6_11,Proceedings Paper,,WOS:001793761900011
"Wang, HZ; Zou, GB; Cao, K; Cui, YG; Wei, TQ; Hu, SY",An Elastic Federated Learning Collaboration Framework for Computing-Constrained IoT,2026,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,2,10.1109/TCAD.2025.3593436,Article,,WOS:001700027000029
"Wu, SB; Baker, T; Wang, YJ; Tan, YA; Li, YZ; Ren, MX",FRISC: Mitigating Privacy Leakage in Federated Learning through Frequency-domain Feature Screening,2026,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,1,10.1002/cpe.70640,Article,,WOS:001718639000002
"Hassanpour, M; Ramezani, R",Semi-synchronous federated learning in edge computing using a semi-decentralized topology,2026,JOURNAL OF SUPERCOMPUTING,0,10.1007/s11227-026-08660-w,Article,,WOS:001795049600003
"Deng, YN; Zhao, HL; Wang, DJ; Chen, P; Qian, WZ; Yin, JW; Dustdar, S; Deng, SG",PeerSync: Accelerating Containerized Model Inference at the Network Edge,2026,IEEE TRANSACTIONS ON SERVICES COMPUTING,0,10.1109/TSC.2025.3648591,Article,,WOS:001737537400036
"Ramaprabha, J; Mahalakshmi, P; Murugesan, S; Nagu, B; Ramisetty, S; Gupta, R; Kathiravan, M",An efficient hybrid scheduling and virtual machine framework for load balancing in cloud computing architectures,2026,AIN SHAMS ENGINEERING JOURNAL,0,10.1016/j.asej.2026.104119,Article,,WOS:001747248300001
"Ajibuwa, O; Odeyomi, OT; Yuan, XH; Roy, K; Rawat, D",Data Heterogeneity and Byzantine Resiliency in Decentralized Federated Learning,2026,IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING,0,10.1109/TCCN.2026.3704583,Article,,WOS:001801297200005
"Gao, CZ; Shen, XD; Jin, GX; Xu, C; Zhu, LH; Sharif, K",Self-Attention Clustering-Based Defense Against Eclipse Attacks on Ethereum,2026,IEEE INTERNET OF THINGS JOURNAL,0,10.1109/JIOT.2025.3641605,Article,,WOS:001696566200028
