Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number)
"Liu, YC; Wei, W; Zhang, QH; Li, P; Ma, T",A scalable framework for efficient multi-task learning via task-adaptive feature fusion,2026,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0,10.1016/j.engappai.2026.115717,Article,,WOS:001827897900001
"Lin, SC; Ma, YF; Liu, S; Shi, JH; Jin, LB; Gao, DH; Yu, SQ; Xuan, Q; Cai, XY; Yang, LB",HybridMoE: LoRA-Based LLMs Fine-Tune With Hybrid Mixture of Experts,2026,IEEE TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING,0,10.1109/TASLPRO.2025.3637555,Article,,WOS:001642136500003
"Ye, ZQ; Gao, YL; Xiao, Y; Lyu, Z; Yang, P; Manolova, A",Agentic AI for Low-Altitude Economic Networks via LoRA-Assisted Cloud-Edge Collaboration,2026,IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING,0,10.1109/TCCN.2026.3705845,Article,,WOS:001817221800024
"Balevi, E",A Unified Framework for Task-Oriented Communication at Edge AI,2026,IEEE TRANSACTIONS ON COMMUNICATIONS,0,10.1109/TCOMM.2025.3650276,Article,,WOS:001663383500022
"Fu, JD; Fang, J; Sun, JY; Zhuang, SY; Liu, YL; Lv, ZQ",Toward Efficient Distributed Network Security: A Lightweight Multitask Traffic Analysis Framework,2026,IEEE TRANSACTIONS ON NETWORKING,1,10.1109/TON.2025.3643832,Article,,WOS:001662946200008
"Ji, H; Wang, CX; Li, ZH; Chen, R; Wu, XP; Huang, C; Meng, ZL",LLM4CoT: Large Language Models Orchestrating Chain-of-Task Optimization via Meta-Adapter in 6G Heterogeneous Networks,2026,IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING,1,10.1109/TNSE.2026.3693704,Article,,WOS:001779873900003
"Zhao, Z; Liu, JH; Zhang, S; Wang, LW; Zuo, FY",MLRE-WDD: A lightweight mixture of low-rank experts framework for weld defect detection in intelligent pipeline systems,2027,EXPERT SYSTEMS WITH APPLICATIONS,0,10.1016/j.eswa.2026.133481,Article,,WOS:001826950900001
"Li, N; Zhang, Y; Wang, J; Xu, D; Zhang, XJ",Qwen-Gender: A Chain-of-Thought Based Multi-task Gender Bias Mitigation System,2026,"NATURAL LANGUAGE PROCESSING AND CHINESE COMPUTING, NLPCC 2025, PT IV",0,10.1007/978-981-95-3352-7_41,Proceedings Paper,,WOS:001720981600041
"Sun, PY; Yang, LN; Liang, LH; Yang, HY; Liu, DC; Li, XC",MEF-Net: Mamba-Based Multidomain Edge Feature Fusion Network for City Infrastructure Detection in Remote Sensing Images,2026,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,0,10.1109/JSTARS.2026.3685399,Article,,WOS:001760320800003
"Zhang, ZJ; Lu, Y",Integrating Prediction and Generation: A Lightweight Large Language Model Framework With Parameter Fusion for Personalized Feedback,2026,IEEE ACCESS,0,10.1109/ACCESS.2026.3722042,Article,,WOS:001853233700011
