Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number)
"Arachchige, TK; Boeva, V; Abghari, S; Grahn, H; Casalicchio, E",Enhancing Federated Learning via Robust Client Behavior Eccentricity Analysis,2026,IEEE ACCESS,0,10.1109/ACCESS.2026.3699045,Article,,WOS:001788886000007
"Feng, X; Pan, JF; Song, XM; Cui, KP; Liu, HY",PASA: Proxy-assisted aggregation for private federated learning in heterogeneous wireless networks,2026,JOURNAL OF SYSTEMS ARCHITECTURE,0,10.1016/j.sysarc.2026.103803,Article,,WOS:001747166500001
"Zhang, YH; Zhao, WW; Hu, CH",PSCD : A privacy-preserving framework for structural constraint mitigation in deep neural networks on encrypted distributed datasets,2026,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,0,10.1016/j.future.2026.108390,Article,,WOS:001680108200001
"Gao, HL; Fan, S; Yan, JJ; Deng, C",Adaptive Federated Learning-Based Distributed Resilient Control for Hybrid AC/DC Microgrids,2026,IEEE TRANSACTIONS ON POWER ELECTRONICS,0,10.1109/TPEL.2026.3668718,Article,,WOS:001792425500006
"Ullah, W; Outay, F; Khan, LU; Guizani, M",Split Federated Learning for Real-Time Aerial Video Event Recognition in UAV-Based Geospatial Monitoring,2026,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2,10.1109/TGRS.2025.3596389,Article,,WOS:001736010000001
"Rojek, I; Kotlarz, P; Mikolajewski, D",AI-Based Autonomous Security for Cyber-Physical Systems 2.0 in IoT Ecosystems-A Narrative Review,2026,ELECTRONICS,0,10.3390/electronics15153339,Review,,WOS:001846719600001
"Marrah, SA; Wang, JH; Koroma, AB; Kamara, GD; Babatunde, OS; Marrah, M; Stamber, RT; Saidu, SE",Federated deep learning for privacy-preserving disease detection in IoT-enabled healthcare systems,2026,FRONTIERS IN COMPUTER SCIENCE,1,10.3389/fcomp.2026.1725597,Article,,WOS:001690785900001
"Ramesh, B; Guganathan, L; Arunachalam, K; Naidu, GBSR",Non-Convolutional Decision Transformer Graph Neural Network for Trust-Aware Routing in 6G-Enabled MANET-IoT Networks,2026,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,0,10.1002/dac.70437,Article,,WOS:001711619400005
"Urkude, G; Harne, S; Veettil, MNP; Banerjee, M; Swamy, BL; Deepthi, TV",Design of an improved validation model for semantic interoperability in IoT using MOVFRGD ECDTSA and CCEAICM process,2026,APPLIED NETWORK SCIENCE,0,10.1007/s41109-026-00804-4,Article,,WOS:001857171000001
"Alharbi, A",Predictive fault management in smart sensor networks using a dynamic quantum-AI architecture (DynaQuAI),2026,SCIENTIFIC REPORTS,0,10.1038/s41598-026-47857-0,Article,,WOS:001819141300001
"Bayrooti, J; Gao, Z; Prorok, A",Generalizing Differentially Private Decentralized Deep Learning with Multi-agent Consensus,2026,DISTRIBUTED AUTONOMOUS ROBOTIC SYSTEMS,0,10.1007/978-3-032-04584-3_21,Proceedings Paper,,WOS:001748418000021
"Maiti, R; Madhukumar, AS; Ernest, TZH",Machine Learning-Driven Edge Caching for Industry 5.0: A Survey of Collaborative and Inference-Enabled Techniques,2026,IEEE OPEN JOURNAL OF THE COMMUNICATIONS SOCIETY,3,10.1109/OJCOMS.2026.3669379,Article,,WOS:001717517000006
"Xu, TX; Liu, C; Wang, ZH; Wang, KS",Multi-agent Collaborative Framework with Few-Shot CoT for Threat Detection,2026,"KNOWLEDGE SCIENCE, ENGINEERING AND MANAGEMENT, KSEM 2025, PT IV",0,10.1007/978-981-95-3058-8_36,Proceedings Paper,,WOS:001717866500036
"Zhao, Y; Zhou, CC",Scoring the Impact of Unstructured Data Using Quantum Properties,2026,"SOCIAL NETWORKS ANALYSIS AND MINING, ASONAM 2025, PT III",0,10.1007/978-3-032-14107-1_29,Proceedings Paper,,WOS:001752224500029
"Waelbers, B; Henkel, AP; Bromuri, S",Augmenting human service agents with intelligent technologies,2026,JOURNAL OF SERVICE MANAGEMENT,1,10.1108/JOSM-01-2025-0035,Review,,WOS:001663142800001
"Xu, YH; Hu, CF; Xu, ZH; Zhang, C; Fu, S; Cheng, N; Yang, S; Zhu, LH",Achieving Privacy-Preserving and Communication-Efficient Federated Learning in Internet of Unmanned Agents,2026,IEEE INTERNET OF THINGS JOURNAL,0,10.1109/JIOT.2025.3635164,Article,,WOS:001681790200047
"Hou, XW; Wang, JJ; Du, J; Jiang, CX; Ren, Y",Distributed Machine Learning for Autonomous Agent Swarm: A Survey,2026,IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,17,10.1109/COMST.2025.3594713,Article,,WOS:001654832000026
"Cheng, JC; Pei, SL; Luo, BX; Zhang, SP",Community self-organization based multi-agent collaboration for industrial sensor fault detection,2026,MEASUREMENT SCIENCE AND TECHNOLOGY,0,10.1088/1361-6501/ae81d7,Article,,WOS:001811267800001
"Hadyaoui, A; Cheniti-Belcadhi, L",Equity-aware multi-agent collaboration: Real-time role optimization and generative interventions in group learning,2026,EDUCATIONAL TECHNOLOGY & SOCIETY,0,10.30191/ETS.202604_29(2).SP06,Article,,WOS:001818961500018
"Chen, ZX; Ding, RC; Meng, Y; Li, YZ; Zhang, JW; Cao, L; Li, J; Fan, WQ; Zhang, YY; Wang, LQ; Zhang, DX; Chen, YT",A multi-agent collaborative framework with human-in-the-loop for well log interpretation and applications,2026,PETROLEUM EXPLORATION AND DEVELOPMENT,0,10.1016/S1876-3804(26)60734-3,Article,,WOS:001813285700001
"Bakhshipoor, M; Azizi, Y; Oskoee, SEN",A Reliable Self-Organized Distributed Complex Network for Communication of Smart Agents,2026,COMPLEXITY,0,10.1155/cplx/8858726,Article,,WOS:001815832900001
"Enguix, F; Rincon, JA; Celdrán, AH; Carrascosa, C",ROYAL FLUSH: A MAS-Based Platform for Decentralized Federated Learning Based on SPADE Agents,2026,"ADVANCES IN PRACTICAL APPLICATIONS OF AGENTS, MULTI-AGENT SYSTEMS, AND COMPUTATIONAL SOCIAL SCIENCE: THE PAAMS COLLECTION, PAAMS 2025",0,10.1007/978-3-032-07638-0_7,Proceedings Paper,,WOS:001686377600007
"Ruiz-Ogarrio, JS; Velasco, JM; Estévez-Mendoza, C",The road to decentralization: Optimal coverage on Decentralized Physical Infrastructure Networks (DePIN),2026,FINANCE RESEARCH LETTERS,1,10.1016/j.frl.2025.109115,Article,,WOS:001651226900001
"Li, J; Wang, CX; Liu, YH",AI-Driven Virtual Power Plants: A Comprehensive Review,2026,ENERGIES,2,10.3390/en19041084,Review,,WOS:001700072900001
"Cheng, L; Feng, G; Qin, S; Sun, Y; Wang, J; Wang, F; Quek, TQS",Scheduling Model Transmission and Training for Contact-Based Decentralized Satellite Federated Learning,2026,IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING,3,10.1109/TCCN.2025.3579527,Article,,WOS:001650420100019
"Alvarez-López, C; González-Briones, A; Li, TC",Explainable AI and Multi-Agent Systems for Energy Management in IoT-Edge Environments: A State of the Art Review,2026,ELECTRONICS,10,10.3390/electronics15020385,Article,,WOS:001670317800001
"Yang, MX; Weber, R; Lottridge, D",Designing Generative AI for Real-Time Multi-User Interaction in Co-Creative Dance,2026,"PROCEEDINGS OF THE 10TH INTERNATIONAL CONFERENCE ON MOVEMENT AND COMPUTING, MOCO 2026",0,10.1145/3802842.3802865,Proceedings Paper,,WOS:001796950000012
"Buehler, MJ",MusicSwarm: Biologically Inspired Intelligence for Music Composition,2026,ADVANCED INTELLIGENT SYSTEMS,0,10.1002/aisy.202501253,Article,,WOS:001732056300001
"Zeng, QW; Chen, QW; Yang, XY; Xu, C; Wu, Z; Lu, GY; Wang, DW",Pavement management and maintenance decision-making based on multi-agent collaboration using large language model,2026,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,0,10.1016/j.cacaie.2026.100149,Article,,WOS:001831811000001
"Zeng, D; Gao, A; Xu, ZS",Intelligent Tunnel Fire Source Characteristic Inversion Technology Based on Large Language Model Multi-Agent Collaboration,2026,FIRE-SWITZERLAND,0,10.3390/fire9060233,Article,,WOS:001803462600001
"Kang, S",Blockchain-Secured Multi-Agent Digital Twin Framework for Distributed Manufacturing With Fuzzy PID Control,2026,IEEE COMMUNICATIONS STANDARDS MAGAZINE,0,10.1109/MCOMSTD.2025.3648845,Article; Early Access,,WOS:001663423900001
"Wang, JL; Zhou, YC; Zhang, XH; Lao, JM; Song, HQ",Development of a large language model-driven intelligent agent for predicting relative permeability in oil and gas reservoirs,2026,THEORETICAL AND APPLIED MECHANICS LETTERS,0,10.1016/j.taml.2026.100658,Article,,WOS:001762089800001
"Li, YF; Zou, JF; Wang, L; Zhao, R; Yuan, J",Construction and prototype effect evaluation of a multi-agent collaborative system for operating room nursing,2026,FRONTIERS IN DIGITAL HEALTH,0,10.3389/fdgth.2026.1770454,Article,,WOS:001794331300001
"Feng, JH; Zheng, QY; Wu, CY; Zhao, ZH; Zhang, Y; Wang, YF; Xie, WD",M3Builder: A Multi-agent System for Automated Machine Learning in Medical Imaging,2026,"AI FOR CLINICAL APPLICATIONS, AGENTIC AI 2025, CREATE 2025, CLINICAL MLLMS 2025",1,10.1007/978-3-032-06004-4_12,Proceedings Paper,,WOS:001678513800012
"Mamun, S; Ioannou, S; Raspopoulos, M; Peng, SL",Artificial Intelligence and Machine Learning in Cyber-Physical Systems: A Unified Review of Methodologies for Smart Energy Systems and Intelligent Localization,2026,IEEE ACCESS,0,10.1109/ACCESS.2026.3704476,Article,,WOS:001819879600001
"Peng, J; Li, WY; Vlaski, S; Ling, Q",Topology-Independent Learning Error of the Weighted Mean Under Label Poisoning Attacks in Heterogeneous Decentralized Learning,2026,IEEE TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING OVER NETWORKS,0,10.1109/TSIPN.2026.3712234,Article,,WOS:001835552200003
"Zheng, PY; Yang, J; Wen, XR; Hu, BQ",A novel multi-agent spatiotemporal fusion framework for intelligent skin cancer diagnosis,2026,FRONTIERS IN ONCOLOGY,0,10.3389/fonc.2026.1759960,Article,,WOS:001718283400001
"Alaoui, MEM; Burduk, A",Intelligent Agents and Multi-agent Systems - A Quantitative Review Through Bibliometric Analysis,2026,"ADVANCES IN LEAN MANUFACTURING, VOL 1",0,10.1007/978-3-032-09806-1_18,Proceedings Paper,,WOS:001717965500018
"Walflor, HSM; Medeiros, LCS",Machine Learning for CRISPR-Based Diagnostics,2026,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,1,10.3390/ijms27125485,Review,,WOS:001802555400001
"Abdalwhab, ABM; Beltrame, G; St-Onge, D",Scalable Multi-Agent Reinforcement Learning Framework for Multi-Machine Tending,2026,IEEE ROBOTICS AND AUTOMATION LETTERS,0,10.1109/LRA.2026.3655200,Article,,WOS:001676224400007
"Mastan, M; Jose, GJA; Rakesh, B; Umar, S",Enhancing hotel recommendations with multi-agent reinforcement learning: a novel MADDPG approach,2026,EXPERT SYSTEMS WITH APPLICATIONS,1,10.1016/j.eswa.2026.131928,Article,,WOS:001710288900001
"Bekkuliyev, M; Peco, C",AI and mechanics driving the rise of bio-inspired robotic swarms,2026,"BIOLOGICALLY INSPIRED MATERIALS, PROCESSES, AND SYSTEMS, BIMPS 2026",0,10.1117/12.3089992,Proceedings Paper,,WOS:001820122100012
"Xiong, P; Zhang, LP; Wu, D; Zhang, ZK; Ruan, MZ; Zhang, Y",An LLM-empowered collaborative multi-agent framework for intermittent demand forecasting of large-scale spare parts in smart manufacturing,2026,KNOWLEDGE-BASED SYSTEMS,1,10.1016/j.knosys.2026.116334,Article,,WOS:001790719100001
"Chen, DY; Deng, T; Huang, H; Jia, JC; Dong, MX; Yuan, D; Li, KQ","Mobility-Aware Multi-Task Decentralized Federated Learning for Vehicular Networks: Modeling, Analysis, and Optimization",2026,IEEE TRANSACTIONS ON MOBILE COMPUTING,4,10.1109/TMC.2025.3607496,Article,,WOS:001658613500011
"Tang, ZY; Sui, DY; Sun, HR; Leng, SY",Stubbornness-Aware Peer-to-Peer Bayesian Federated Learning Over Graphs,2026,IEEE TRANSACTIONS ON MACHINE LEARNING IN COMMUNICATIONS AND NETWORKING,0,10.1109/TMLCN.2026.3710445,Article,,WOS:001817203100002
