Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number)
"Demidovskij, A; Tugaryov, A; Salnikov, I; Frolova, O; Trutnev, A; Xie, PC; Novikova, I; Zharikov, E; Blyudova, V; Ignatiev, Y",Hebb-Inspired Low Rank Adapters for Large Language Models Fine-Tuning,2026,"PRICAI 2025: TRENDS IN ARTIFICIAL INTELLIGENCE, PRICAI 2025, PT III",0,10.1007/978-981-95-7078-2_39,Proceedings Paper,,WOS:001784536500039
"Qiao, L; Wang, HW; Sugiura, K; Liu, KR; Hu, JL",MMtuning: An Advanced Multi-adapter Framework for Efficient Multimodal Large Language Models Fine-Tuning,2026,"KNOWLEDGE SCIENCE, ENGINEERING AND MANAGEMENT, KSEM 2025, PT III",0,10.1007/978-981-95-3055-7_5,Proceedings Paper,,WOS:001717867900005
"Li, YZ; Zhu, W",TRACE: Time Series Parameter Efficient Fine-Tuning,2026,NEUROCOMPUTING,1,10.1016/j.neucom.2025.132098,Article,,WOS:001627752100003
"Basahel, AM; Giriyappa, SH; Alam, F; Alnazzawi, TSM; Qamar, S; Sen, AAA",A Resource-Efficient Approach to Fine-Tuning a BERT-Base Model for Sentiment Analysis,2026,COMPUTERS,0,10.3390/computers15030159,Article,,WOS:001725191200001
"Park, J; Ko, J; Lee, S; Choi, J; Kim, HJ",Parameter-Efficient Fine-Tuning via Meta-Regularizer,2026,INTERNATIONAL JOURNAL OF COMPUTER VISION,0,10.1007/s11263-025-02693-z,Article,,WOS:001714834600010
"Wang, YR; He, X; Sui, XT",Entity Recognition for Coal Mine Hydraulic Support Installation Process Driven by LLM LoRA Fine-Tuning,2026,APPLIED SCIENCES-BASEL,0,10.3390/app16041943,Article,,WOS:001699861000001
"Zamankhani, S; Sattler, KU",TraceTune: Targeted Fine-Tuning of Attention Heads for Text-to-SQL,2026,"BIG DATA ANALYTICS AND KNOWLEDGE DISCOVERY, DAWAK 2025",0,10.1007/978-3-032-02215-8_25,Proceedings Paper,,WOS:001579468600025
"Zougari, O; Kharmoum, N; Rami, D; Kodad, M; Ziti, S",An Analytical Study of Fine-Tuning Approaches for LLMs in Software Engineering,2026,"3RD INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND SMART APPLICATIONS, AISA'25, VOL 1: ARTIFICIAL INTELLIGENCE, IOT, AND SMART APPLICATIONS",0,,Proceedings Paper,,WOS:001789056800001
"Yang, LX; Zhu, JX; Zhang, ZX",Textual overlap rather than domain alignment: A comparative study of fine-tuning strategies for specialised machine translation with large language models,2026,PLOS ONE,0,10.1371/journal.pone.0352256,Article,,WOS:001826192200043
"Wang, RY; Ping, P; Guo, ZY; Zhang, XY; Shi, Q; Zhou, LT; Ji, TB",LoKI: Low-damage Knowledge Implanting of Large Language Models,2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 39",0,,Proceedings Paper,,WOS:001769447300107
"Li, JL; Zhang, K; Zou, CY; Shi, W; Li, X; Wei, S",EDGE: Enhanced Debiased Gradient Extraction for Robust Fine-Tuning,2026,"CHINESE COMPUTATIONAL LINGUISTICS, CCL 2025",0,10.1007/978-981-95-2725-0_22,Proceedings Paper,,WOS:001657354900022
