Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number)
"Wang, YR; He, X; Sui, XT",Entity Recognition for Coal Mine Hydraulic Support Installation Process Driven by LLM LoRA Fine-Tuning,2026,APPLIED SCIENCES-BASEL,0,10.3390/app16041943,Article,,WOS:001699861000001
"Pan, R; Bernal-Beltrán, T; Rodríguez-González, A; Menasalvas-Ruíz, E; Valencia-García, R",Evaluating Spanish Medical Entity Recognition: Large Language Models with Prompting versus Fine-Tuning,2026,CMC-COMPUTERS MATERIALS & CONTINUA,1,10.32604/cmc.2026.077501,Article,,WOS:001745394400001
"Charoensuk, J; Silabumrungrad, N; Lordee, N; Chootong, C",Fine-Tuning a Multilingual Transformer Model for Thai Medical Named Entity Recognition on Medicine Labels,2026,"UBI-MEDIA COMPUTING, PERVASIVE SYSTEMS, ALGORITHMS AND NETWORKS, UBI-MEDIA 2026",0,10.1007/978-981-95-9843-4_29,Proceedings Paper,,WOS:001816068100029
"Zhu, JJ; Li, J; Zhao, S; Deng, YY; Miao, YM; Xu, J",Adapting LLMs for biomedical natural language processing: a comprehensive benchmark study on fine-tuning methods,2026,JOURNAL OF SUPERCOMPUTING,1,10.1007/s11227-025-08182-x,Article,,WOS:001672350700002
"Kim, S; Lee, DSU; Kim, Y; Yoon, HJ; Lee, H",Beyond Fine-Tuning: Leveraging Domain-Aware In-Context learning with large language models for clinical named entity recognition,2026,JOURNAL OF BIOMEDICAL INFORMATICS,1,10.1016/j.jbi.2026.104982,Article,,WOS:001669682800001
"Labonté, F; Giri, S; Herbrik, C; Flek, L",Structured Multi-extraction Prompting Improves LLM-Based Biomedical Relation Extraction Without Fine-Tuning,2026,"DIGITAL HEALTH AND WIRELESS SOLUTIONS: INTEGRATING AI, LLMS AND MULTIMODAL HEALTH DATA FOR NEXT-GENERATION DECISION SUPPORT, NCDHWS 2026, PT II",0,10.1007/978-3-032-28819-6_39,Proceedings Paper,,WOS:001821126500039
"Zeinali, N; Albashayreh, A; Fan, WG; White, SG",Using Large Language Models to Detect Anxiety and Nausea/Vomiting Documentation in Clinical Notes of Patients With Cancer,2026,CIN-COMPUTERS INFORMATICS NURSING,0,10.1097/CIN.0000000000001418,Article,,WOS:001745554200009
"Ghoroori, M; Chen, ZX; Hooff, G",Fine-Tuning a Robustly Optimized Encoder Representation from Transformers Model for Domain-Specific Named Entity Recognition in Drilling Reports,2026,SPE JOURNAL,0,,Article,,WOS:001813022400002
"Oliveira, MSV; Pio, PB; Garcia, LPF",Generative SLMs Meet Brazilian Legal Documents: Efficient NER via LoRA Fine-Tuning,2026,"INTELLIGENT SYSTEMS, BRACIS 2025, PT I",0,10.1007/978-3-032-15987-8_39,Proceedings Paper,,WOS:001734361000039
"Rami, D; Kharmoum, N; Zougari, O; Kodad, M; Ziti, S",Structured Data Extraction from OCR Invoices: A Comparative Analysis of Fine-Tuning Paradigms,2026,"3RD INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND SMART APPLICATIONS, AISA'25, VOL 1: ARTIFICIAL INTELLIGENCE, IOT, AND SMART APPLICATIONS",0,10.1007/978-3-032-18716-1_15,Proceedings Paper,,WOS:001789056800015
"Goel, P; Bhatt, A; Pradhan, B; Gite, S; Lee, CW; Alamri, A; Garg, D; Patel, B; Patel, A",General-purpose named entity recognition using transformer-based fine-tuned approach,2026,PEERJ COMPUTER SCIENCE,0,10.7717/peerj-cs.3951,Article,,WOS:001824010800001
"Devadiga, M; Vajari, MA; Qin, X; McRoy, SW",Enhancing Data Accessibility through Automated Personally Identifiable Information De-Identification in Crash Narratives,2026,TRANSPORTATION RESEARCH RECORD,0,10.1177/03611981261447268,Article; Early Access,,WOS:001779739400001
"Ma, YM; Xing, Y; Wu, D; Zhou, YN; Zi, Y; Wang, M; Deng, YN; Pan, SD",Research on fine-tuning algorithms for Large Language Models integrating Uncertainty Modeling and External Memory Augmentation,2026,PLOS ONE,0,10.1371/journal.pone.0351493,Article,,WOS:001792566300010
"Bakermans, I; De Pascale, J; Marcelino, G; Cascavilla, G; Geradts, Z",Scraping the shadows: Deep learning breakthroughs in dark web intelligence,2026,ARRAY,0,10.1016/j.array.2026.101162,Article,,WOS:001866130900001
