Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number)
"Huang, YM; Yang, CX",Enhancing stock price forecasting with a modular deep learning framework incorporating plug-and-play transformer variants,2026,EXPERT SYSTEMS WITH APPLICATIONS,0,10.1016/j.eswa.2026.131572,Article,,WOS:001703703800001
"Assad, S; Isa, NAM; Saleh, SAM",Hybrid CNN-Transformer models for industrial defect detection: A systematic review,2026,RESULTS IN ENGINEERING,8,10.1016/j.rineng.2026.109457,Review,,WOS:001689698200001
"Wu, ZJ; Dong, Z; Huang, XJ",Research on Frequency-Domain Learning-Based Fault Diagnosis Methods in Nuclear Power Plants via a Lightweight Complex-Valued Neural Network,2026,ENERGIES,1,10.3390/en19051204,Article,,WOS:001713523400001
"Ahmad, S; Kalam, S; Joshua, ESN; Abdeljaber, HAM; Alfraihi, H",PolyVision: Optimising Retinal Disease Detection Through Collaborative Neural Networks,2026,JOURNAL OF ADVANCES IN INFORMATION TECHNOLOGY,0,10.12720/jait.17.1.55-64,Article,,WOS:001671277100005
"Shin, J; Choi, YH",Modular Patch-Level Image Obfuscation Framework for Untrusted Third-Party Vision Inference,2026,IEEE ACCESS,0,10.1109/ACCESS.2026.3700167,Article,,WOS:001807913200027
"Lau, MC; Pottier, N",A Modular Vision System for Practical Object Detection on Resource-Constrained Humanoid Robots,2026,BIOMIMETICS,0,10.3390/biomimetics11060363,Article,,WOS:001802686200001
"Du, ZY; Yan, ZM; Xu, Y",Comprehensive Energy Forecasting of Smart Homes: A Lightweight Multi-Task Neural Network via Sparse Neuron Reuse,2026,IEEE TRANSACTIONS ON SMART GRID,0,10.1109/TSG.2026.3682527,Article,,WOS:001801457800007
"Caceres, RSG; Saldaña, JMA; Salvador, PGP",Design of a Vision Transformer-Based Architecture for Automatic Facial Emotion Monitoring in Workplace Environments,2026,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,0,,Article,,WOS:001710505800001
"Mengmeng, Z; Heng, L",A Lightweight Deep Learning Framework for Chinese and Western Pastry Texture Evaluation and Defect Detection,2026,RECENT ADVANCES IN ELECTRICAL & ELECTRONIC ENGINEERING,0,10.2174/0123520965399383250806071752,Article,,WOS:001805961400001
"Qi, TT; Tang, SL; Ye, HB",RVDCU-Net: A Modular Deep Learning Framework for Spatiotemporal Reconstruction of Satellite-Derived Sea Surface Temperature,2026,MARINE GEODESY,0,10.1080/01490419.2025.2583086,Article,,WOS:001618778100001
