Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number)
"Liu, YC; Wei, W; Zhang, QH; Li, P; Ma, T",A scalable framework for efficient multi-task learning via task-adaptive feature fusion,2026,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0,10.1016/j.engappai.2026.115717,Article,,WOS:001827897900001
"Lee, JW; Choi, KW",Two-Tier PEFT Adapter Switching for Environment- and SNR-Adaptive Channel Estimation,2026,IEEE OPEN JOURNAL OF THE COMMUNICATIONS SOCIETY,0,10.1109/OJCOMS.2026.3697928,Article,,WOS:001788843700018
"Li, XG; Miao, JF; Dhelim, S",MSHLoRA: A multi-stage multi-scale diverse adapter framework for efficient expert-level adaptation of large language models,2026,EXPERT SYSTEMS WITH APPLICATIONS,1,10.1016/j.eswa.2026.132391,Article,,WOS:001744734100001
"Dawadikar, A; Shyamsundar, P; Bhat, RV; Saxena, N",Activation-Guided Layer Selection for LoRA,2026,INFORMATION,0,10.3390/info17030283,Article,,WOS:001725639900001
"Sai, CV; Elmitwally, NS; Rice, I; Mahmoud, H; Vickers, I; Schmoor, X",Fine-Tuning Open-Source Large Language Models for Cybersecurity and IT Support: A Comparative Study on LLM Fine-Tuning Techniques,2026,IEEE OPEN JOURNAL OF THE COMPUTER SOCIETY,0,10.1109/OJCS.2026.3685799,Article,,WOS:001767253100008
"Sun, CW; Wei, JW; Wu, YJ; Shi, YM; He, SY; Ma, ZY; Xie, N; Yang, Y",Unleashing the Power of Singular Values for Parameter-Efficient Fine-Tuning of Large Pre-Trained Models,2026,IEEE TRANSACTIONS ON MULTIMEDIA,0,10.1109/TMM.2026.3668691,Article,,WOS:001862946400023
"Wu, H; Gao, JQ; Luo, XF",GLA-LoRA: Parameter-efficient LLM fine-tuning with global-local knowledge alignment,2027,NEURAL NETWORKS,0,10.1016/j.neunet.2026.109545,Article,,WOS:001861971200001
"Si, CJ; Shi, ZY; Zhang, SF; Yang, XK; Pfister, H; Shen, W","Task-Specific Directions: Definition, Exploration, and Utilization in Parameter Efficient Fine-Tuning",2026,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,2,10.1109/TPAMI.2026.3659168,Article,,WOS:001760393800020
"Srinivasu, PN; Samudrala, A; Devesh, PG; Reddy, SA; Nuaim, AA",Quantized Low-Rank Adaptation in Large Language Models for Clinical Text Simplification,2026,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,0,10.1007/s44196-026-01402-z,Article,,WOS:001813670900001
"Li, Z; Mak, MW; Pilanci, M; Lee, HY; Gan, CX; Sheng, JB; Meng, HL",Toward a Unified Perspective on Parameter-Efficient Fine Tuning for Speaker Verification,2026,IEEE TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING,0,10.1109/TASLPRO.2026.3682068,Article,,WOS:001748470200003
"Ranade, DJ; Jaiswal, R",Right-to-be-Forgotten by Design in Adapter-Tuned Transformers,2026,"PROCEEDINGS OF THE 2026 CONFERENCE ON HUMAN CENTERED ARTIFICIAL INTELLIGENCE - EDUCATION AND PRACTICE, HCAI-EP 2026",0,10.1145/3777490.3777507,Proceedings Paper,,WOS:001722569700017
"More, A; Rusert, J",Is Adversarial Vulnerability a Real Trade-off in LoRA Fine-Tuned Models?,2026,SOUTHEASTCON 2026,0,10.1109/SOUTHEASTCON63549.2026.11476532,Proceedings Paper,,WOS:001832498200339
"Hu, JY; Xue, J; Zhang, MQ; Chen, Y; Ren, ZC; Wu, S; Chen, ZM; Ren, PJ",ASLoRA: Adaptive Sharing Low-Rank Adaptation Across Layers,2026,PATTERN RECOGNITION,0,10.1016/j.patcog.2026.114072,Article,,WOS:001793770500001
"Gan, Q; Hu, HF; Wang, FF; Zhao, M; Ren, XY",ST-LoRA: SVD-Guided Sparse Low-Rank Adaptation With Trainable Masks for Large Language and Vision Models,2026,IET COMPUTER VISION,0,10.1049/cvi2.70072,Article,,WOS:001803220300001
"Zhao, PC; Han, CC; Han, K",LawLLM-DS: A Two-Stage LoRA Framework for Multi-Label Legal Judgment Prediction with Structured Label Dependencies,2026,SYMMETRY-BASEL,0,10.3390/sym18010150,Article,,WOS:001671261000001
"Toksöz, SB; Isik, G; Sahin, G; Akin, E","Parameter-Efficient Fine-Tuning for Photovoltaic Cell Defect Classification: A Systematic Comparison of LoRA, QLoRA, and Full Fine-Tuning on ConvNeXt-Tiny",2026,SENSORS,1,10.3390/s26123659,Article,,WOS:001803848600001
"Tao, R; Zhan, QG; Ding, FY; Liu, GS; Xie, XR; Tang, HJ",SpikeLoRA: Power-efficient low-rank adaptation based on spiking neural network,2026,NEUROCOMPUTING,0,10.1016/j.neucom.2026.133947,Article,,WOS:001776570200001
