Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Kynabay B.; Aldabergen A.; Kadyrov S.,C-TriLoRA: Cross-Corpus Kazakh SER via Tri-Factor LoRA and CORAL,2026,International Journal of Advanced Computer Science and Applications,0,10.14569/IJACSA.2026.0170675,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105044585664
Abdisarabshali P.; Nadimi F.; Borazjani K.; Khosravan N.; Liwang M.; Ni W.; Niyato D.; Langberg M.; Hosseinalipour S.,Hierarchical Federated Foundation Models over Wireless Networks for Multi-Modal Multi-Task Intelligence: Integration of Edge Learning with D2D/P2P-Enabled Fog Learning Architectures,2026,IEEE Communications Magazine,0,10.1109/MCOM.001.2500502,Article,,2-s2.0-105031517064
Ye Z.; Gao Y.; Xiao Y.; Lyu Z.; Yang P.; Manolova A.,Agentic AI for Low-Altitude Economic Networks via LoRA-Assisted Cloud-Edge Collaboration,2026,IEEE Transactions on Cognitive Communications and Networking,0,10.1109/TCCN.2026.3705845,Article,,2-s2.0-105043568116
Yu Y.; Wang K.; Zhang M.,OMPT: One-stage multiple prompts transfer learning,2026,Neurocomputing,0,10.1016/j.neucom.2026.133997,Article,,2-s2.0-105040056123
Li A.; Greenewald K.; Parnell T.; Azizan N.,Efficient Multi-Adapter LLM Serving via Cross-Model KV-Cache Reuse with Activated LoRA,2026,Transactions on Machine Learning Research,0,,Article,,2-s2.0-105048660277
Yao X.; Liang Z.; Zhang S.; Lu Y.; Li J.,Multitask Learning Framework With Vision Foundation Model for Roof Superstructure Segmentation in Aerial Imagery,2026,IEEE Geoscience and Remote Sensing Letters,0,10.1109/LGRS.2026.3704175,Article,,2-s2.0-105042735437
Gong H.; Sheu J.-B.; Wang Z.; Yang X.; Yan R.,A unified model for multi-task drone routing in post-disaster road assessment,2027,Reliability Engineering and System Safety,1,10.1016/j.ress.2026.113258,Article,All Open Access; Green Open Access,2-s2.0-105048884143
E E.; Deepthi J.K.; Sirigiri J.C.; Madam S.L.; Swathi Priya Y.,Fine-grained emotion recognition using RoBERTa with low-rank adaptation and retrieval-augmented context contrastive definition pretraining masked language modeling and multi-dataset transfer learning,2026,International Journal of Computers and Applications,0,10.1080/1206212X.2026.2708345,Review,,2-s2.0-105046495927
Liu J.; Ma H.; Li X.; Li Y.; Si Y.; Xing Z.; Wang Z.; Shao M.,Research Progress in Target Audio Processing Methods Based on Pre⁃trained Models; [基 于 预 训 练 模 型 的 目 标 音 频 处 理 研 究 进 展],2026,Shuju Caiji Yu Chuli/Journal of Data Acquisition and Processing,0,10.16337/j.1004-9037.2026.02.007,Article,,2-s2.0-105043315964
Zhang Z.; Lu Y.,Integrating Prediction and Generation: A Lightweight Large Language Model Framework With Parameter Fusion for Personalized Feedback,2026,IEEE Access,0,10.1109/ACCESS.2026.3722042,Article,All Open Access; Gold Open Access,2-s2.0-105048555873
