Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Zhao G.; Song Y.; Huang B.; Huang Y.; Zhang K.; Li H.,ARES-SQL: Augmented Reinforcement Enhanced Semantic SQL for Small Language Models,2026,"2026 6th International Conference on Artificial Intelligence, Big Data and Algorithms, CAIBDA 2026",0,10.1109/CAIBDA70336.2026.11621226,Conference paper,,2-s2.0-105047085425
Cao M.,Design of Dynamic Data Visualization Algorithms Based on Deep Learning and Improvement of Human-Computer Interaction Experience,2026,"2026 IEEE International Conference on Power, Electronics and Green Energy, ICPEGE 2026",0,10.1109/ICPEGE67691.2026.11451268,Conference paper,,2-s2.0-105037456091
Shoba L.K.; Biradavolu G.; Pandi H.,AI-Powered SQL Generation Using Natural Language Processing for Intelligent Database Interaction,2026,"Proceedings of the 2026 12th International Conference on Communication and Signal Processing, ICCSP 2026",0,10.1109/ICCSP68173.2026.11539707,Conference paper,,2-s2.0-105042247867
Jiang H.; Zhu M.; Zhang Q.; Zhong G.; Li G.,Research on NL2SQL in the logistics field based on large language models under resource constraints,2026,"Proceedings of 2025 5th International Conference on Big Data, Artificial Intelligence and Risk Management, ICBAR 2025",0,10.1145/3800227.3800276,Conference paper,,2-s2.0-105038736194
Zhao Z.; Zhang L.; Xu B.; Zhang Y.; Xu Z.; Liu Y.; Shan S.; Lin H.,TableMind: Redefining Table Reasoning With Semantics and Flexibility,2026,IEEE Transactions on Knowledge and Data Engineering,0,10.1109/TKDE.2026.3717667,Article,,2-s2.0-105046281961
Geng Q.,Design of an Intelligent English Translation Recognition Model Based on an Improved GLR Algorithm,2026,"Proceedings of 2026 International Conference on Big Data and Informatization Education, ICBDIE 2026",0,10.1145/3806980.3807046,Conference paper,All Open Access; Gold Open Access,2-s2.0-105042074070
Wang Y.; Zheng Z.; Sui X.; Yv M.,LoRA-SFIE-LLM: Synergistic LoRA and RAG retrieval optimization for shearer fault information extraction,2026,Knowledge-Based Systems,0,10.1016/j.knosys.2026.116826,Article,,2-s2.0-105047326379
Zhou J.; Li Z.; Hao S.; Zhao P.; Mao Y.; Zhou Y.; Guo R.; Zhong Y.; Chang X.,Cross-modal Semantic Relevance is An Efficient Gatekeeper for Audio-Visual Video Parsing,2026,IEEE Transactions on Multimedia,1,10.1109/TMM.2026.3714823,Article,,2-s2.0-105045804915
Kulkarni C.; Medicherla C.; Patel T.P.; Vulugundam B.; Purushothaman R.; Sahoo I.; Parikh M.; Keshava R.,Native MCP Server in Oracle Autonomous AI Database-Enabling High Performance Agentic AI Workloads,2026,"2026 International Conference on Artificial Intelligence, Systems, and Emerging Technologies, ICAISET 2026",0,10.1109/ICAISET66439.2026.11541769,Conference paper,,2-s2.0-105042151304
LIU M.-Y.; XU J.-Q.; TONG Y.-X.,Natural Language Query Transformation Method for Spatial Databases Based on Large Language Model; [基于大语言模型的空间数据库自然语言查询转换方法],2026,Ruan Jian Xue Bao/Journal of Software,0,10.13328/j.cnki.jos.007514,Article,,2-s2.0-105043444115
Ahmadpanah S.H.,Distilling structural reasoning: efficient semantic parsing via chain-of-thought rationalization and contrastive demonstration selection,2026,Scientific Reports,1,10.1038/s41598-026-55561-2,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105046755684
Chan S.; Kong V.; Nayyar A.; Kim T.-K.,QA-SQL: query-augmented SQL generation using few-shot prompting with data augmentation,2026,PeerJ Computer Science,1,10.7717/peerj-cs.3525,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105033763198
Zhu X.; Moshiri P.F.; Lohan P.; Kantarci B.; Janulewicz E.,Structure-Aware NL-to-SQL for SFC Provisioning via AST-Masking Empowered Language Models,2026,IEEE International Conference on Communications,0,10.1109/ICC59461.2026.11587727,Conference paper,All Open Access; Green Open Access,2-s2.0-105045398376
Guo L.; Wang Y.; Hu H.; Zheng Y.; Jin Y.; Huang S.; Wang Z.,"Mastering Regional 3DGS: Locating, Initializing, and Editing with Diverse 2D Priors",2026,International Journal of Computer Vision,0,10.1007/s11263-026-02941-w,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-105047132763
Vinod A.; Senthil A.; Sachin M.; Swaratmika G.H.; Meenakshi; Talekar N.,"A Hybrid ML Framework for Intelligent ERP Systems: Clustering, Forecasting, and Anomaly Detection for Small Retail Businesses",2026,"2026 International Conference on Advanced Computing and Knowledge Engineering, ICACKE 2026",0,10.1109/ICACKE65470.2026.11651188,Conference paper,,2-s2.0-105048506725
Gopikrishna V.; Chandini P.; Srikanth P.; Aman S.; Ruchit O.; Akhilesh J.,NLA-SQLGEN: An AI-Driven Natural Language Interface for Intelligent Database Query Generation,2026,"2026 9th International Conference on Intelligent Computing and Control Systems, ICICCS 2026",0,10.1109/ICICCS67901.2026.11502633,Conference paper,,2-s2.0-105041163699
Eze J.E.; Matekenya D.; Mathewe E.,Bridging the Language Gap in Text-to-SQL: Adapting LLMs for Chichewa in a Low-Resource Setting,2026,SIGIR 2026 - Proceedings of the 49th International ACM SIGIR Conference on Research and Development in Information Retrieval,0,10.1145/3805712.3808529,Conference paper,All Open Access; Gold Open Access,2-s2.0-105047273351
Guo Y.; Li H.; Liu T.; Zhao H.; Cai S.; Xie Z.; Liang Y.; Liao Q.,Key technologies and application pathways for intelligent professional models in refined oil batch planning; [成品油批次计划专业模型智能化关键技术与应用路径],2026,You Qi Chu Yun/Oil and Gas Storage and Transportation,0,10.6047/j.issn.1000-8241.2026.02.007,Article,,2-s2.0-105035211881
Zhang T.; Xing K.,VLMoE-Restore: A Vision-Language Model guided Mixture of Experts Framework for Degraded Infrared Image Restoration,2026,"2026 The 9th International Conference on Image and Graphics Processing, ICIGP 2026",0,10.1109/ICIGP68997.2026.11619648,Conference paper,,2-s2.0-105047183550
Sun Y.; Chen J.,English video scene semantic parsing technique based on sentence semantics and adaptive feature selection,2026,International Journal of Information and Communication Technology,0,10.1504/IJICT.2026.152289,Article,All Open Access; Bronze Open Access,2-s2.0-105033036461
Jia H.; Wang H.; Shi X.; Zhang G.; Jiang H.; Peng J.,TriCrackNet: Trilateral Segmentation Network for Real-Time Crack Segmentation,2026,CAAI Transactions on Intelligence Technology,0,10.1049/cit2.70129,Article,All Open Access; Gold Open Access,2-s2.0-105035688420
