Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Wang Y.; Ling Y.; Wang Y.; Ma J.; Jin Q.,Multiple targets tracking with unmanned aerial vehicle swarm based on multi-agent deep reinforcement learning framework with safety network,2026,Engineering Applications of Artificial Intelligence,0,10.1016/j.engappai.2026.115370,Article,,2-s2.0-105041011544
Banu B.N.; Elamparithi M.; Anuratha V.,FEDERATED GRAPH NEURAL NETWORKS FOR PRIVACY-PRESERVING DATA SCIENCE IN HETEROGENEOUS ENVIRONMENTS: A SYSTEMATIC REVIEW,2026,International Journal of Computer Information Systems and Industrial Management Applications,0,10.70917/ijcisim-2026-2072,Review,All Open Access; Gold Open Access,2-s2.0-105044620455
Punitha A.; Vanteru M.K.; Manojkumar K.; Reddy T.V.S.,Blockchain-enabled spiking neural network for optimal routing and location privacy protection in IoT healthcare networks,2026,Iran Journal of Computer Science,0,10.1007/s42044-025-00362-5,Article,,2-s2.0-105027881334
Yang H.; Xu W.; Pham D.T.; Qi L.; Ba M.,Decentralised task planning and motion coordination for scalable multi-robot collaborative manufacturing,2026,Robotics and Computer-Integrated Manufacturing,6,10.1016/j.rcim.2026.103255,Article,All Open Access; Green Open Access,2-s2.0-105029303270
Hou Y.; Yu B.; Yang Z.; Wang J.; Xiang W.; Wu D.; Liwang M.; Xia X.; Li Z.; Tian Y.; Sun Y.,Privacy-preserving federated SAR image target recognition with adaptive resource management in space-air-ground integrated networks,2026,Pattern Recognition,30,10.1016/j.patcog.2026.113253,Article,,2-s2.0-105030444446
Rui Y.; Zhuge Y.; Shi J.; Liao P.; Skruch P.; Xu Y.; Mei P.; Lu X.; Karimi H.R.,Learning-Based Risk-Perception Strategies for Intelligent Co-Control of Energy Efficiency and Safety in Autonomous Driving: A Survey,2026,Journal of Artificial Intelligence and Soft Computing Research,0,10.2478/jaiscr-2026-0018,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105043937657
Dang Y.; Chi X.; Yan H.; Zhang T.; Zhang X.; Han Z.,Improving Energy Efficiency in Post-Disaster Networks: Multi-Agent Deep Reinforcement Learning for Enhancing Local Contributions,2026,IEEE Transactions on Vehicular Technology,0,10.1109/TVT.2026.3666157,Article,,2-s2.0-105030677933
Ortega-Quiñones K.D.; Escobar-Pereira E.; Cifuentes-Molano M.F.; Holguín-Londoño G.A.; Holguín-Londoño M.,A Late-Fusion Multimodal Approach for Safety-Aware Workspace Modeling in Collaborative Robotic Systems,2026,Robotics,0,10.3390/robotics15070127,Article,All Open Access; Gold Open Access,2-s2.0-105045763327
Parashar J.; Hung B.T.; Upreti K.; Kshirsagar P.R.; Mahajan S.; Kadry S.,An enhanced hybrid framework for IoT healthcare security using blockchain-driven multimedia data analysis and cybersecurity techniques,2026,Array,0,10.1016/j.array.2026.100759,Article,All Open Access; Gold Open Access,2-s2.0-105034386847
Li H.; Liu K.; Yu Y.; Zhai Y.; Hu A.; Huo J.; Luo W.,Multi-Agent Learning for Precise and Collaborative Control of Anesthetics in TIVA,2026,IEEE Journal of Biomedical and Health Informatics,0,10.1109/JBHI.2025.3647549,Article,All Open Access; Hybrid Gold Open Access,2-s2.0-105026032824
