Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Agrahari A.K.; Dinker A.G.; Singh R.B.,A review of security threats and privacy issues in federated learning,2026,International Journal of Data Science and Analytics,1,10.1007/s41060-026-01067-z,Review,,2-s2.0-105031577745
Wu Y.; Chaddad A.; Alkhodair S.A.; Daqqaq T.; Kateb R.,FedCLIPOT: Federated CLIP model via parameter reusing and optimal transport,2026,Information Fusion,0,10.1016/j.inffus.2026.104324,Article,,2-s2.0-105035390631
Fuzail M.Z.; Din I.U.; Ahmed S.; Alhumam A.; Khan A.H.,Optimizing sepsis mortality prediction using hybrid federated learning and explainable AI framework,2026,Scientific Reports,2,10.1038/s41598-026-36245-3,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105029566064
Kanauzia R.; Singh M.; Gulati S.; Singh B.M.; Arora N.; Gola K.K.,A comprehensive survey on federated learning for privacy preservation in digital healthcare applications,2026,Knowledge and Information Systems,6,10.1007/s10115-025-02673-2,Review,,2-s2.0-105027275414
Gomathi R.; Saranya K.; Mahaboob John Y.M.; Mary G.L.R.,Stochastic Poisson-embedded privacy framework for federated learning with secure homomorphic encryption in medical AI,2026,Scientific Reports,0,10.1038/s41598-026-41469-4,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105034939099
Moosbrugger L.; Seiler V.; Wohlgenannt P.; Hegenbart S.; Ristov S.; Eder E.; Kepplinger P.,Load forecasting for households and energy communities: Are deep learning models worth the effort?,2026,Next Energy,0,10.1016/j.nxener.2026.100851,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105046804728
Arazzi M.; Koffas S.; Nocera A.; Picek S.,Let's focus: Focused backdoor attack against federated transfer learning,2026,Neurocomputing,0,10.1016/j.neucom.2026.134042,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-105040361331
Le T.T.; Tran P.-N.; Pham N.T.; Manavalan B.; Shen L.; Hong C.S.; Dang D.N.M.,"Federated learning for medical image analysis: Methods, challenges, and future directions",2026,Advanced Engineering Informatics,0,10.1016/j.aei.2026.104976,Review,,2-s2.0-105042349755
Rahman M.M.; Hossain S.,"Federated learning and AI-based ZTA for security, privacy, telemetry, IAM and fileless malware detection and prevention framework: an in-depth review",2026,International Journal of Data Science and Analytics,0,10.1007/s41060-026-01254-y,Review,,2-s2.0-105047956783
Yin K.; Ding Z.; Zhu R.; Hou S.; Li Y.; Wang Y.; Du Y.,FedSpike: A personalized federated learning method for energy-efficient spiking neural networks in edge intelligence,2026,Information Sciences,0,10.1016/j.ins.2026.123785,Article,,2-s2.0-105042657791
Alsubaei F.S.; Almazroi A.A.; Ayub N.,Federated ConvNeXt-swin temporal fusion network for malware and botnet detection in IoT systems,2026,Scientific Reports,0,10.1038/s41598-026-55768-3,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105043717122
Feng Y.; Ma Z.,Construction of a sports bio mechanical injury prediction and AI warning system based on wearable sensors,2026,"BMC Sports Science, Medicine and Rehabilitation",0,10.1186/s13102-026-01761-2,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105045272644
Jeyaram G.; Vidhya V.; Dhanaraj R.K.; Alabdultif A.,A Lightweight Sequential AI Framework for Real Time Intrusion Detection in Dynamic Vehicular Networks,2026,Scientific Reports,1,10.1038/s41598-026-36103-2,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105029561850
Peng J.; Li A.; Yang D.; El-Latif A.A.A.,Federated Detection of Malicious Domain Names in the Internet of Things with Heterogeneous Data Distribution,2026,Journal of Network and Systems Management,0,10.1007/s10922-026-10092-z,Article,,2-s2.0-105040913982
Ahmad I.; Ravindra K.; Bhargavi Y.B.; Nagaraju K.L.; Mandava J.; Mim T.J.; Dongare S.A.,Wearable neural biosensors for early detection of neurodegenerative diseases,2026,Discover Neuroscience,0,10.1186/s13064-026-00302-4,Review,All Open Access; Hybrid Gold Open Access,2-s2.0-105046733550
Yan Y.; Yang J.,Secure group aggregation for privacy-protection federated learning,2026,Cybersecurity,1,10.1186/s42400-025-00443-9,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105033858580
Sittakul V.; Ioannou I.; Nagaradjane P.; Puwaphat R.; Vassiliou V.,Mobile edge computing assisted NTN-IoT systems with 6G technologies for LEO: A distributed artificial intelligence integration perspective,2026,Pervasive and Mobile Computing,0,10.1016/j.pmcj.2026.102276,Article,,2-s2.0-105047955329
Omar A.; Ahmad F.; Boumaiza A.,"A comprehensive review of artificial intelligence techniques for energy storage systems: Charging demand forecasting, and grid integration",2026,Journal of Energy Storage,0,10.1016/j.est.2026.123445,Review,,2-s2.0-105043974711
Chen H.; Zhang K.; Chen Y.; Wu X.; Cai C.; Chen D.,Anomaly detection method for satellite networks based on adaptive federated learning driven by deep reinforcement learning,2026,Information Sciences,0,10.1016/j.ins.2026.123808,Article,,2-s2.0-105042569925
Alwzwazy H.A.; Alzubaidi L.; Zhao Z.; Crawford R.; Alnaseri O.; Jurdak R.; Gu Y.,BigOrthoATD.Net: A scalable and adaptable distributed deep learning framework for multi-class orthopedic classification across imaging modalities in low-resourced settings,2026,Neural Networks,1,10.1016/j.neunet.2026.109190,Article,All Open Access; Hybrid Gold Open Access,2-s2.0-105040762106
Kong S.C.; Wang Q.,Fostering machine learning literacy in senior primary education: Evaluating a structured pedagogical course design,2026,Computers and Education: Artificial Intelligence,0,10.1016/j.caeai.2026.100631,Article,All Open Access; Gold Open Access,2-s2.0-105042363804
Tuama A.Y.; Hasan T.M.; Shakir A.C.,Security and privacy-preserving mechanisms in collaborative machine learning: A systematic review with novel taxonomy,2026,Journal of Information Security and Applications,0,10.1016/j.jisa.2026.104608,Article,,2-s2.0-105048167022
Napa K.K.; Sathyanarayanan D.; Purushothaman R.; Allasi H.L.; Soosaimariyan M.V.; Karunakaran C.; Rao M.S.,A privacy preserving federated meta ensemble stacking framework with explainability and differential privacy for chronic kidney disease prediction in resource constrained settings,2026,Discover Artificial Intelligence,0,10.1007/s44163-026-02143-w,Article,All Open Access; Gold Open Access,2-s2.0-105049155835
Chen J.; Zheng R.; Liu J.,Towards UAV path-planning algorithms and obstacle avoidance methods: A comprehensive review,2026,Robotics and Autonomous Systems,0,10.1016/j.robot.2026.105636,Short survey,,2-s2.0-105045033810
Wang Y.,Innovation of autonomous learning mode for college english under IoT integrated software platform,2026,Discover Artificial Intelligence,0,10.1007/s44163-026-01564-x,Article,All Open Access; Gold Open Access,2-s2.0-105044161370
Guo L.; Yang T.; Yu X.; Han X.; Jiang G.; Liu H.,FedCRF: A Federated Cross-domain Recommendation method with semantic-driven deep knowledge Fusion,2026,Information Processing and Management,0,10.1016/j.ipm.2026.104827,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-105037030104
Nazari N.; Nazari E.,"Federated learning for renewable energy systems: Algorithms, applications, and deployment challenges",2027,Renewable and Sustainable Energy Reviews,0,10.1016/j.rser.2026.117456,Review,,2-s2.0-105049047366
Ren B.; Yang P.; Du M.; Yang D.,Energy Efficient Heterogeneous Federated Learning Over Mobile Devices: A Deep Reinforcement Learning Based Stackelberg Game Approach,2026,IEEE Transactions on Network Science and Engineering,3,10.1109/TNSE.2025.3632865,Article,,2-s2.0-105021657323
Nepal M.; Mudigonda K.S.P.; Sowkuntla P.; Abdul A.,Architecture sensitivity analysis of CNN and vision transformer models for federated eye disease classification under non-IID settings,2026,Network Modeling Analysis in Health Informatics and Bioinformatics,0,10.1007/s13721-026-00805-4,Article,,2-s2.0-105040798548
Khullar V.; Abbas M.; Kansal I.; Ksibi A.; Gupta G.; Gupta D.; Juneja S.; Nauman A.,Low resource federated learning for classification of nail disease by deploying cross-silo and heterogeneously dataset distributions,2026,Scientific Reports,3,10.1038/s41598-026-36848-w,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105031528553
He X.; Yu C.; Zhang Y.; Feng K.; Zhu J.; Ma W.,Vehicle-enabled control of traffic at lane-drop bottlenecks on freeway via speed and lane-changing advisories to connected vehicles as moving actuators,2026,Transportation Research Part C: Emerging Technologies,0,10.1016/j.trc.2026.105943,Article,,2-s2.0-105047842874
Mengistu T.M.; Faisal K.M.; Choi W.; Kim T.,Natural language processing at the crossroads: Integrating federated and reinforcement learning for emerging intelligent systems,2026,Computer Science Review,0,10.1016/j.cosrev.2026.101014,Article,,2-s2.0-105041110047
Abualola H.; Singh S.; Mizouni R.; Otrok H.,Context-Aware forwarding unavailability prediction in the internet of vehicles: A blockchain-assisted approach,2026,Vehicular Communications,0,10.1016/j.vehcom.2026.101073,Article,,2-s2.0-105048924109
Hamza A.; Faiz M.; Iftikhar A.; Badal B.; Qamar S.; Ali E.; Usman M.; Talha M.; Un Nisa N.; Mujtaba A.; Butt A.; Talat N.F.; Ashraf A.,"Artificial Intelligence and Machine Learning Applications in Fibromuscular Dysplasia: Transforming Diagnosis, Risk Stratification, and Clinical Decision-Making",2026,Journal of Cardiovascular Translational Research,1,10.1007/s12265-026-10760-0,Review,,2-s2.0-105032341960
Alaklabi S.,PrivChain-AI leveraging blockchain and federated learning for private financial reporting and access control,2026,Scientific Reports,2,10.1038/s41598-025-32606-6,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105028322366
Tehseen R.; Omer U.; Hamraz A.R.; Mustaqeem A.; Sabahat N.; Qamar N.,Hybrid electricity management system for residential power block applications,2026,Scientific Reports,0,10.1038/s41598-026-56630-2,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105048548320
Bisen D.; Saurabh P.; Chhajed D.P.; Pallavi P.; Suman A.,"Evolving MANETs toward secure, scalable, and intelligent networks",2026,Discover Internet of Things,0,10.1007/s43926-026-00376-w,Review,All Open Access; Gold Open Access,2-s2.0-105048527501
Yu L.; Ren Y.; Shi L.; Li Z.; Ding X.,Dual watermark authentication defense for federated learning: lossless integrity verification against model poisoning,2026,Cybersecurity,0,10.1186/s42400-026-00623-1,Article,All Open Access; Gold Open Access,2-s2.0-105043466002
