Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Guo Q.; Mu C.; Pan J.; Jia M.; Tian L.; Gao H.; Kang Z.,SAMA: Semantic Anchor-aligned Augmentation for Unified Low-Resource Multimodal Information Extraction,2026,IEEE Transactions on Multimedia,0,10.1109/TMM.2026.3716760,Article,,2-s2.0-105045804276
Zhu J.; Li J.; Zhao S.; Deng Y.; Miao Y.; Xu J.,Adapting LLMs for biomedical natural language processing: a comprehensive benchmark study on fine-tuning methods,2026,Journal of Supercomputing,4,10.1007/s11227-025-08182-x,Article,,2-s2.0-105028738213
Sun C.-Y.; Chen S.-S.; Ho Y.-H.,De-identification of open-source intelligence using finetuned LLaMA-3,2026,High-Confidence Computing,0,10.1016/j.hcc.2025.100357,Article,All Open Access; Gold Open Access,2-s2.0-105035701556
Liu B.; Jiang Z.; Qian X.; Tao M.; Gao S.; Li X.,Dynamic lexicon integration and update in BERT for enhanced named entity recognition in Chinese legal contracts,2026,International Journal of Machine Learning and Cybernetics,0,10.1007/s13042-025-02961-x,Article,,2-s2.0-105030209227
Li H.; Feng Y.,Optimized MS-SIDM: A Context-Aware Sensitive Information Detection Framework via LLM Reasoning and Non-Linear Risk Quantification,2026,IEEE Access,0,10.1109/ACCESS.2026.3692490,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105039188668
Chen W.; Guo Z.; Wang K.; Chang X.; Fan Q.; Chen J.; Wu F.,Intelligent compliance review and quality evaluation of construction organization plan based on large language models and knowledge graph,2027,Expert Systems with Applications,0,10.1016/j.eswa.2026.133998,Article,,2-s2.0-105047651650
Jiahao L.; Fushun W.; Wanzhe Y.; Zhenxue H.; Zejia Z.; Chao W.,A method for constructing a multi-modal knowledge graph of sheep disease based on a pre-trained model,2026,Veterinary Research Communications,0,10.1007/s11259-026-11254-9,Article,,2-s2.0-105038490795
Shayea A.; Mangoud M.A.,LoRA-Efficient BERT for Arabic Aspect-Based Sentiment Analysis,2026,"2026 Middle East and North Africa Communications Conference, MENACOMM 2026",0,10.1109/MENACOMM69507.2026.11532908,Conference paper,,2-s2.0-105041889075
Ma Y.; Xing Y.; Wu D.; Zhou Y.; Zi Y.; Wang M.; Deng Y.; Pan S.,Research on fine-tuning algorithms for Large Language Models integrating Uncertainty Modeling and External Memory Augmentation,2026,PLOS ONE,0,10.1371/journal.pone.0351493,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105042415628
Fu Y.; Dai R.; Ye O.,Few-Shot Named Entity Recognition Approach Based on Large Language Models,2026,"Proceedings of 2026 5th International Conference on Big Data, Information and Computer Network, BDICN 2026",0,10.1145/3801228.3801340,Conference paper,All Open Access; Gold Open Access,2-s2.0-105038031055
Mengistu T.M.; Faisal K.M.; Choi W.; Kim T.,Natural language processing at the crossroads: Integrating federated and reinforcement learning for emerging intelligent systems,2026,Computer Science Review,0,10.1016/j.cosrev.2026.101014,Article,,2-s2.0-105041110047
Wang J.; Zhang T.; Fang Z.,Scientific Entity Recognition Methods Based on Large Language Models Fine-Tuning; [基于大语言模型微调的科研实体识别方法研究],2026,Library and Information Service,0,10.13266/j.issn.0252-3116.2026.13.005,Article,,2-s2.0-105043638594
Pranav Aditya J.K.; Poongothai E.,Traceable and Explainable Multimodal Clinical Decision Support System Using Low-Rank Adapted Diffusion Models and Domain-Specific DDPM Architectures,2026,"2026 International Conference on Next Generation Electronics, NELEX 2026",0,10.1109/NELeX69209.2026.11590832,Conference paper,,2-s2.0-105045593260
Shi Y.; Lu Y.; Si X.; Gao P.; Zhang J.,AW-KG: Construction Method of Rice Pest and Disease Knowledge Graph Based on Large Language Models; [AW-KG：基于大语言模型的水稻病虫害知识图谱构建方法],2026,Computer Engineering and Applications,0,10.3778/j.issn.1002-8331.2508-0112,Article,,2-s2.0-105049064907
