Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Wang G.; Zeng J.; Cui E.; Zheng B.; Jia X.; Wen J.; Hu M.; Qin C.,A transfer learning-based approach for pheochromocytoma and surrounding multi-organ segmentation in abdominal CT images,2026,Knowledge-Based Systems,0,10.1016/j.knosys.2026.116841,Article,,2-s2.0-105047660624
Chen Y.; Zhang Q.; Shi X.; Zhang L.,PromptMix: LLM-aided prompt learning for generalizing vision-language models,2026,Information Fusion,1,10.1016/j.inffus.2026.104186,Article,,2-s2.0-105028935818
Ping S.; Lin Z.; Lin L.; Zhao L.; Ye L.; Wang B.; Wang T.,A Prompt-Preserving SAM ViT-B Adaptation Framework with Historical Branch Fusion and Soft Convolutional Expert Weighting for Medical Image Segmentation,2026,Bioengineering,0,10.3390/bioengineering13080914,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105048399560
Choi H.; Lee J.; Chang R.Y.,AdaSplitLoRA: Adaptive Split Federated Learning for Efficient LLM Fine-Tuning in Wireless Networks,2026,IEEE Wireless Communications Letters,0,10.1109/LWC.2026.3711276,Article,,2-s2.0-105044549150
Li A.; Greenewald K.; Parnell T.; Azizan N.,Efficient Multi-Adapter LLM Serving via Cross-Model KV-Cache Reuse with Activated LoRA,2026,Transactions on Machine Learning Research,0,,Article,,2-s2.0-105048660277
Chen D.; Yang W.; Yuan Y.; Gu J.,DINOv3-PEFT: A Dual-Branch Collaborative Network with Parameter-Efficient Fine-Tuning for Precise Road Segmentation in SAR Imagery,2026,Remote Sensing,0,10.3390/rs18070973,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105035619956
Gao Z.; Bao Z.; Fan H.; Li X.; Nong Q.; Jiang J.,GSCNet: A transformer-based granular style control network for artifact-free image style transfer,2026,Journal of Visual Communication and Image Representation,0,10.1016/j.jvcir.2026.104895,Article,,2-s2.0-105045030314
Gu Z.; Zhao Z.-Q.; Shen H.; Zhang Z.; Huang D.-S.,A novel multi-granularity context-adaptive downsampling convolution for low-resolution images,2026,Information Sciences,0,10.1016/j.ins.2026.123223,Article,,2-s2.0-105030495915
Jia H.; Zhao Y.; Fu P.; Wang T.,PSAQNet: A Perceptual Structure Adaptive Quality Network for Authentic Distortion Oriented No-reference Image Quality Assessment; [PSAQNet：面向真实失真无参考图像质量评价的感知结构自适应质量网络],2026,Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology,0,10.11999/JEIT251220,Article,,2-s2.0-105046995491
Feng Z.; Yang S.; Liu J.-J.; Yang W.,PoseAdapter: Efficiently transferring 2D human pose estimator to 3D whole-body task via adapter,2026,Pattern Recognition,0,10.1016/j.patcog.2026.113154,Article,,2-s2.0-105028509859
Zhang Y.; Du G.,A hierarchical multi-modal injection architecture for synergistic music understanding and generation,2026,International Journal of Multimedia Information Retrieval,0,10.1007/s13735-026-00410-1,Article,,2-s2.0-105042606096
Zhang H.; Huang Z.; Song Y.,"RUPA: retrieval-enhanced, uncertainty-gated prompt alignment for few-shot anomaly detection",2026,Measurement Science and Technology,0,10.1088/1361-6501/ae8468,Article,All Open Access; Hybrid Gold Open Access,2-s2.0-105044542870
Wang T.; Luo H.; Yang C.; Jia H.,DARRA: A distortion-aware residual recalibration adapter for MLLM-based no-reference image quality assessment,2027,Signal Processing,0,10.1016/j.sigpro.2026.110859,Article,,2-s2.0-105046573570
Ge H.; Zhao Y.; Lv Z.; Yang X.,DCAF: Decoupled Cache Adaptation and Auxiliary Logit Fusion for few-shot CLIP,2026,Pattern Recognition,0,10.1016/j.patcog.2026.114382,Article,,2-s2.0-105044403892
Zhang X.; Li Z.; Hagen K.; Yong V.W.; Xue M.,Association of neurocan and microglial functional state following intracerebral hemorrhage,2026,Journal of Neurorestoratology,0,10.1016/j.jnrt.2026.100294,Article,All Open Access; Gold Open Access,2-s2.0-105037741442
Xu R.; Chen L.; Lao H.; Zhang J.; Zhu X.,DyMerge-LoRA: On-GPU Post-Merge Fusion for High-Throughput Multi-Tenant Composite LoRA Serving,2026,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,0,10.1145/3770854.3780270,Conference paper,All Open Access; Gold Open Access,2-s2.0-105038082772
Zhao L.; Yu L.; Pan B.,Measuring full-field vibration and dynamic deformation using single time-gated camera stereo-digital image correlation,2026,Mechanical Systems and Signal Processing,0,10.1016/j.ymssp.2026.114407,Article,,2-s2.0-105039025290
Nyachionjeka K.; Bayoumi E.H.E.,Safe-Calibrated TCN–Transformer Transfer Learning for Reliable Battery SoH Estimation Under Lab-to-Field Domain Shift,2026,World Electric Vehicle Journal,2,10.3390/wevj17030149,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105033915342
Namekata K.; Kant Y.; Liu Z.; Burgert R.; Xu Y.; Lin K.H.; Steven E.; Philip J.; Ma L.; Vedaldi A.; Debevec P.; Yu N.,Go-with-the-Track: Video Compositing and Motion Control with Point Tracking,2026,Proceedings - SIGGRAPH 2026 Conference Papers,0,10.1145/3799902.3811093,Conference paper,All Open Access; Gold Open Access,2-s2.0-105046286444
Yuan Y.; Zhao X.; Yu S.; Pang S.; Zou G.,GuardChain: multi-stage trust framework for FL-empowered AIGC,2026,Journal of Cloud Computing,0,10.1186/s13677-026-00840-6,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105030624281
Kaushik A.; Roy C.; Jain G.; Mittal A.,Indian Legal Litigation Intelligence: A Hybrid QLoRA and LLM Framework for Indian Law,2026,"2026 5th International Conference on Distributed Computing and Electrical Circuits and Electronics, ICDCECE 2026",0,10.1109/ICDCECE68961.2026.11646089,Conference paper,,2-s2.0-105048477373
Li Z.; Wang H.; Zhang F.,DDformer: Transformer with dynamic variable fusion and dynamic difference attention for multivariate time series long-term forecasting,2026,Neurocomputing,3,10.1016/j.neucom.2026.132716,Article,,2-s2.0-105028326739
Peroor M.D.A.; Mani M.; Ramanathan N.; Sundaram J.,Stress-Induced Modulation of Lectin as a Physiological Response in the Larvae of Zophobas morio,2026,Archives of Insect Biochemistry and Physiology,0,10.1002/arch.70185,Article,,2-s2.0-105043469623
Brunda D.S.; Kamakshamma V.; Banu S.N.; Manjusha K.; Narasimhulu M.; Yadav G.H.K.,Resource-Aware Quantized Parameter-Efficient Fine-Tuning of Large Language Models for Low-Resource Cloud Environments,2026,"6th International Conference on Inventive Computation and Information Technologies, ICICIT 2026 - Proceedings",0,10.1109/ICICIT69063.2026.11634006,Conference paper,,2-s2.0-105047918014
Song L.; Zhu Y.; Zhao J.; Wang G.; Li H.; Li Y.,SpatioPrompt: Learning Spatial Attention and Dynamic Prompts for Few-Shot Medical Image Anomaly Detection,2026,IEEE Journal of Biomedical and Health Informatics,0,10.1109/JBHI.2026.3706621,Article,,2-s2.0-105043167489
Zhuang Y.; Gong C.; Zheng Z.; Wu F.; Chen G.,Resource-Efficient LLM Customization on Mobile Devices Through Proxy Submodel Tuning,2026,IEEE Transactions on Networking,1,10.1109/TON.2026.3658387,Article,,2-s2.0-105028750635
Pan L.; Lu Z.; Zheng Y.; Yan C.; Wen H.; Tao L.; Xu C.,Task-adaptive continual learning of vision language models via prototype routing and prompt,2026,Neurocomputing,1,10.1016/j.neucom.2026.132740,Article,,2-s2.0-105028246638
Yang M.; Tian Y.; Zhang L.; Xi G.; Wang W.,HyBridge: hybrid decoupling-to-recoupling adaptation of vision-language models for real-time video action recognition,2026,Journal of Real-Time Image Processing,0,10.1007/s11554-026-01893-1,Article,,2-s2.0-105040520002
Xiang Y.; Xian Y.; Cairang X.; Dorji G.; Danzeng P.; Zhao Q.,Handwritten text line segmentation with TextSAM: An enhanced segment anything model via multi-module fusion,2026,International Journal on Document Analysis and Recognition,1,10.1007/s10032-025-00567-1,Article,,2-s2.0-105027168160
Goel S.; Apuri H.,PatternForge: A Multi-Agent Generative AI Framework for Catalog-Driven Orchestration Across Enterprise CRM and Hyperscaler Cloud Platforms,2026,"Proceedings of the 18th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2026",0,10.1109/ECAI69016.2026.11613750,Conference paper,,2-s2.0-105046604274
Hoang D.-C.; Tan P.X.; Nguyen A.-N.; Ngo D.-H.; Cao M.-D.; Vu M.-Q.; Duong H.-N.; Nguyen S.-H.; Le T.-H.; Dang V.-V.; Dinh X.-T.; Nguyen M.-A.; Do M.-Q.; Giap V.-K.; Duong V.-H.,Multi-scale token fusion with Mamba adapters for efficient 3D industrial defect detection,2026,Array,0,10.1016/j.array.2026.100976,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105041065396
Nath B.,Explainable multilingual NMT with adapters and mixture-of-experts: a study on low-resource Indic languages,2026,International Journal of Speech Technology,0,10.1007/s10772-026-10267-8,Article,,2-s2.0-105039006502
De Z.; Zishan L.; Ningning L.,Cross-domain Crowd Counting Model Based on Frequency Domain Enhancement; [基于频域增强的跨域人群计数模型],2026,Xitong Fangzhen Xuebao / Journal of System Simulation,1,10.16182/j.issn1004731x.joss.25-0896,Article,,2-s2.0-105030440063
Gu Y.; Xia F.; Liu M.; Cheng H.; Wei S.; Song Y.; Wei L.; Hu S.; Xie W.,A smart grid knowledge retrieval framework for heterogeneous operational data: enhancing fault tracing and equipment diagnosis for digital smart grid operation,2026,Journal of Engineering and Applied Science,0,10.1186/s44147-026-01127-y,Article,All Open Access; Gold Open Access,2-s2.0-105044837248
Wang Y.; Nan H.; Yan R.; Ding X.; Wang J.; Fu X.,PIGaze: Personalized in-vehicle gaze estimation with plug-and-play adaptation,2026,Knowledge-Based Systems,0,10.1016/j.knosys.2026.116336,Article,,2-s2.0-105041309983
Xu P.; Yan F.,RSSR: Efficient knowledge transfer and deep spatial modeling for remote sensing visual question answering,2026,Computer Vision and Image Understanding,0,10.1016/j.cviu.2026.104753,Article,,2-s2.0-105035019576
Zhang B.; Pan J.; Yang S.; Gu L.,Adapt-then-fuse: Instance feature adaptation for multi-modal test-time adaptation,2026,Knowledge-Based Systems,0,10.1016/j.knosys.2026.116427,Article,,2-s2.0-105042090917
Ouali I.,Audio-driven facial animation in the wild using a multi-style identity preservation framework,2026,Multimedia Tools and Applications,0,10.1007/s11042-026-21843-0,Article,,2-s2.0-105046211910
Li Y.; Wang T.-Y.; Guo Q.; Ren Y.; Lu X.; Cao Q.; Yang R.,Genomic language model mitigates chimera artifacts in nanopore direct RNA sequencing,2026,Nature Communications ,1,10.1038/s41467-026-68571-5,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105030569494
Wei Z.; Xie D.; Zhou Y.; Hu X.,Degradation classification-objective free: Learning a degradation-invariant semantic prior for all-in-one image restoration,2026,Knowledge-Based Systems,0,10.1016/j.knosys.2026.116104,Article,,2-s2.0-105037809406
Braga M.; Raganato A.; Pasi G.,MAdaKron: A mixture-of-AdaKron adapters,2026,Knowledge-Based Systems,1,10.1016/j.knosys.2025.115086,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-105025449898
Liu Q.; Jiang X.; Yuan S.; Gong X.; Chen W.; Zhang D.; Du D.; Chen C.,Wider Output Voltage Range Asymmetrical Half-Bridge Flyback Converter With Primary Side Synchronization Turn-Off Control,2026,IEEE Transactions on Power Electronics,2,10.1109/TPEL.2025.3616246,Article,,2-s2.0-105018054656
Huang D.; Guo Y.; Huang Y.; Dai L.; Shen F.; Zeng H.,"Selection, Aggregation, and Enhancement: Trajectory Consistent Diffusion Model for Image Super-Resolution",2026,IEEE Transactions on Image Processing,0,10.1109/TIP.2026.3699085,Article,,2-s2.0-105041939558
Yu J.; Liu Y.; Chen Y.; Li S.; Sun Q.; Zhou H.; Li J.,Mix-of-CLIP-experts model for pathological image classification; [用于病理图像分类的混合CLIP专家模型],2026,Qinghua Daxue Xuebao/Journal of Tsinghua University,0,10.16511/j.cnki.qhdxxb.2026.21.005,Article,,2-s2.0-105040226706
Chu X.; Yang X.; Wei K.; Wang X.,Towards Robust Edge Model Adaptation via Elastic Architecture Search,2026,Proceedings of the AAAI Conference on Artificial Intelligence,0,10.1609/aaai.v40i25.39198,Conference paper,All Open Access; Gold Open Access,2-s2.0-105034729978
Yang S.; Sun H.-M.; Feng S.; Sun Q.; Jia R.-S.,Motion-compensated and scale-robust dynamic facial expression recognition via static prior transfer,2027,Expert Systems with Applications,0,10.1016/j.eswa.2026.134191,Article,,2-s2.0-105048986861
Yuan M.; Zhang Y.; Zhang W.; Du H.; Wang Z.; Ying J.; Shi W.,Dynamic Adapters for Enabling Continuous Edge Video Analytics With Segment Anything Model,2026,IEEE Transactions on Mobile Computing,0,10.1109/TMC.2026.3717455,Article,,2-s2.0-105046300983
Gao P.; Yao K.; Ye T.; Wang S.Z.; Yao Y.; Wang X.,OPa-Ma: Text guided Mamba for 360-degree image out-painting,2026,Pattern Recognition,0,10.1016/j.patcog.2026.113957,Article,All Open Access; Green Open Access,2-s2.0-105039797764
