Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Zhang K.; Peng Y.; Pang B.; Chen X.,Multiscale feature fusion for few-shot medical image learning with fisher information-driven layer selection,2026,"Visual Computing for Industry, Biomedicine, and Art",0,10.1186/s42492-026-00220-6,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105040529612
Tong S.; Liu H.; Guo R.; Tian X.; Wang W.; Xin J.; Liu D.; Zhang Y.,A text-based knowledge-embedded soft sensing modeling approach for industrial process tasks based on large language model,2026,Control Engineering Practice,0,10.1016/j.conengprac.2026.107208,Article,,2-s2.0-105047658547
Shinwari H.U.K.; Usama M.,ARD-LoRA: Dynamic Rank Allocation for Parameter-Efficient Fine-Tuning of Foundation Models With Heterogeneous Adaptation Needs,2026,IEEE Transactions on Artificial Intelligence,3,10.1109/TAI.2025.3605569,Article,All Open Access; Green Open Access,2-s2.0-105015337081
Mugoh E.; Obonyo S.; Kituku B.; Wandeto J.,Fine-Tuning a Bilingual Large Language Model for Personalised Maternal Health Risk Assessment in Low-Resource Settings: A Kiswahili-English Framework for Kenya,2026,"2026 6th International Conference on Computer Communication and Artificial Intelligence, CCAI 2026",0,10.1109/CCAI69603.2026.11641987,Conference paper,,2-s2.0-105048954336
Zhou Y.; Han X.; Zhang Y.; Zhou H.; Li T.; Wu Y.,Dynamic Pressure Adaptive Fine-Tuning Method for Large Language Models Based on Fluid Mechanics,2026,Chinese Journal of Electronics,0,10.23919/cje.2025.00.312,Article,,2-s2.0-105044391597
Hasna R.; Ali M.A.; Picos R.; Al Chawa M.M.,Efficient Domain Adaptation of a Lightweight BERT Retriever: Comparing Full Fine-Tuning and LoRA for Biomedical Search,2026,"International Conference on Modern Circuits and Systems Technologies, MOCAST",0,10.1109/MOCAST70204.2026.11655596,Conference paper,,2-s2.0-105048075299
Mahmoud N.R.; Elbehiery H.; Youssef B.A.F.; Mobarz H.B.A.,LoRA-Based Deep Learning for High-Fidelity Satellite Image Super-Resolution in Big Data Remote Sensing,2026,Computers,0,10.3390/computers15050313,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105040119227
Kadri W.; Bouaziz S.; Charfeddine M.,LoDA-BERTopic: Domain-Adaptive Neural Topic Modeling with Low-Rank Fine-Tuning for Social Web Discourse,2026,International Conference on Agents and Artificial Intelligence,0,10.5220/0014430100004052,Conference paper,,2-s2.0-105041699783
Yuan L.; Fu K.; Kong X.; Li R.; Han Y.; Sun H.; Li X.; Grzegorzek M.; Li C.,LK-CIL: Language-guided Knowledge-enhanced Class-Incremental Learning with Pretrained Models for Chest X-Ray Imaging,2026,IEEE Transactions on Radiation and Plasma Medical Sciences,0,10.1109/TRPMS.2026.3701981,Article,,2-s2.0-105041957762
Liu Y.; Tsang H.S.-H.; Hsung R.T.-C.; Zhu T.Y.; Yang X.; Lo W.-L.; Huang Z.; Chan Y.-L.,Parameter-Efficient Multi-Source Adaptation for Multimodal Fashion Retrieval,2026,"2026 7th International Conference on Artificial Intelligence and Electromechanical Automation, AIEA 2026",0,10.1109/AIEA70743.2026.11633072,Conference paper,,2-s2.0-105048336305
