Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Duong-The V.; Le-Hoang-Minh Q.; Bui-Minh Q.; Pham-Phu T.; Do-Hieu M.; Tran A.C.,Longan Cultivar Identification from Leaves: A Benchmark of Efficient Backbones and Training Protocols,2026,Procedia Computer Science,0,10.1016/j.procs.2026.05.174,Conference paper,All Open Access; Gold Open Access,2-s2.0-105045581895
Wang G.; Zeng J.; Cui E.; Zheng B.; Jia X.; Wen J.; Hu M.; Qin C.,A transfer learning-based approach for pheochromocytoma and surrounding multi-organ segmentation in abdominal CT images,2026,Knowledge-Based Systems,0,10.1016/j.knosys.2026.116841,Article,,2-s2.0-105047660624
Thangaraj R.; Preethishri D.; Sivaraj R.,Comparative Analysis of ResNet50-V1 and Fine-Tuned ResNet50-V2 Models for Multi-Class Classification Using Ocular Surface Images,2026,"Proceedings - IEEE Madhya Pradesh Section Conference, MPCON 2026",0,10.1109/MPCON69668.2026.11509006,Conference paper,,2-s2.0-105041359867
Jang D.; Jung S.-W.; Yang H.-W.; Song I.-S.; Nam T.-H.; Lee J.H.; Jung S.-Y.,Efficiency Map-Based Optimal Design and Experimental Validation of Rib-Less IPMSMs Using Multi-Stage Deep Transfer Learning Considering PWM Harmonic Effects,2026,Journal of Electrical Engineering and Technology,0,10.1007/s42835-025-02523-9,Article,,2-s2.0-105023677855
Ren K.; Du Y.; Xu L.; Yao Y.; Han W.; Jin L.; Wang L.,CE-CLIP: Cloud–edge collaborative fine-tuning for multimodal adaptation,2026,Pattern Recognition,0,10.1016/j.patcog.2026.113846,Article,,2-s2.0-105037131908
Rashid M.O.; Islam M.O.; Billah S.; Tasnim S.; Sarker S.K.,Domain-guided intelligent distributed control for enhancing frequency resilience in multi-microgrids under limited and noisy data,2026,Energy Conversion and Management: X,1,10.1016/j.ecmx.2026.101896,Article,All Open Access; Gold Open Access,2-s2.0-105037417427
Shetty S.R.; Guruprasad,Comprehensive Visualization of Model Predictions using XAI Techniques for Metal Surface Defects in Grayscale Images,2026,"17th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2026",0,,Conference paper,,2-s2.0-105047262461
Liu K.; Li T.; Tian Z.; Liu D.; Wu D.; Hu T.; Cai T.,Far-Field Calculation for Oblique Incidence on Metasurfaces Based on Pre-Trained Fine-Tuning Models (Invited); [基于预训练微调模型的超构表面斜入射远场计算(特邀)],2026,Guangxue Xuebao/Acta Optica Sinica,0,10.3788/AOS260477,Article,,2-s2.0-105040631506
Tuteja G.; Srivastav P.; Kaur S.P.; Negi P.; Kumar Mishra P.; Chaudhary M.,Lightweight and Accurate MobileNetV2 Model for Citrus Disease Detection,2026,"Proceedings of 2026 5th OPJU International Technology Conference on Smart Computing for Innovation and Advancement in Industry 5.0, OTCON 2026",0,10.1109/OTCON69332.2026.11629729,Conference paper,,2-s2.0-105047844555
Yu X.; Gao W.; Guo K.; Zhang Z.; Wang H.; Wang M.; Qiu S.; Tian W.,Fourier neural operator-based approach for real-time prediction of high-temperature heat pipes frozen startup,2026,Applied Thermal Engineering,0,10.1016/j.applthermaleng.2026.131964,Article,,2-s2.0-105042554551
Gurcan F.; Soylu A.,Automated waste classification for smart recycling: A multi-class CNN approach with transfer learning and pre-trained models,2026,Environmental Technology and Innovation,2,10.1016/j.eti.2025.104673,Article,All Open Access; Gold Open Access,2-s2.0-105023832954
