Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number),matched_queries
"Mangi, SA; Rajper, S; Shaikh, NA; Chaudhry, SA",Federated Learning for Malicious Domain Detection via Privacy-Preserving DNS Traffic Analysis,2026,CMC-COMPUTERS MATERIALS & CONTINUA,0,10.32604/cmc.2026.077337,Article,,WOS:001745388600001,Q3
"Zhou, ZK; Luo, GB; Chen, MZ; Weng, ZY; Zhu, YS",Federated Learning for Medical Image Classification: A Comprehensive Benchmark,2026,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,1,10.1109/JBHI.2025.3631706,Article,,WOS:001785997900003,Q3
"De Nunzio, G; Conte, L; Taormina, V; Crisci, A; Donatiello, GV; Rizzo, R; Cascio, D",Federated Learning for Pre-operative Detection of Triple-Negative Breast Cancer from Multiparametric MRI: Preliminary Results,2026,"PRODUCT-FOCUSED SOFTWARE PROCESS IMPROVEMENT. INDUSTRY, DOCTORAL-SYMPOSIUM, TUTORIAL, AND WORKSHOP PAPERS, PROFES 2025",0,10.1007/978-3-032-12092-2_25,Proceedings Paper,,WOS:001718774400025,Q3
"Muhammed, A; Marcos, J; Gonçalves, N","Federated Learning for Secure and Privacy-Preserving Facial Recognition: Advances, Challenges, and Research Directions",2026,"PATTERN RECOGNITION AND IMAGE ANALYSIS, IBPRIA 2025, PT I",1,10.1007/978-3-031-99565-1_16,Proceedings Paper,,WOS:001592180600016,Q3
"Zhang, ZK; Rath, S; Xu, JH; Xiao, TS",Federated Learning for Smart Grid: A Survey on Applications and Potential Vulnerabilities,2026,ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS,19,10.1145/3760788,Article,,WOS:001721537000001,Q3
"Khan, MI; Rayhan, M; Farahani, MA; Wuest, T",Federated Learning for Smart Manufacturing: Evaluating Deep Learning Architectures for Time Series Forecasting in a Collaborative Framework,2026,"ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS. CYBER-PHYSICAL-HUMAN PRODUCTION SYSTEMS: HUMAN-AI COLLABORATION AND BEYOND, APMS 2025, PT II",1,10.1007/978-3-032-03534-9_4,Proceedings Paper,,WOS:001583344100004,Q3
"Zulqarnain, M; Hussain, SJ; Aslam, MZ; Fiaz, A; Islam, M",Federated Learning for Thoracic Disease Classification Using Convolutional Neural Networks and Differential Privacy,2026,HEALTHCARE TECHNOLOGY LETTERS,0,10.1049/htl2.70080,Article,,WOS:001807668800001,Q3
"Orozco, F; Wen, HK; De Gusmao, PPB; Wahlström, J; Luo, M",Federated Learning for Traffic Flow Prediction With Synthetic Data Augmentation,2026,IEEE OPEN JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS,2,10.1109/OJITS.2026.3659531,Article,,WOS:001687315900002,Q3
"Wang, GG; Wu, C; Ohzahata, S; Yamamoto, R",Federated Learning for Vehicular Networks Based on DDMC Modulation,2026,"2026 INTERNATIONAL CONFERENCE ON COMPUTING, NETWORKING AND COMMUNICATIONS, ICNC",0,10.1109/ICNC68183.2026.11416941,Proceedings Paper,,WOS:001807851200176,Q3
"Diez, A; Rincon, J; Urda, D",Federated Learning for the Detection of Attacks on IoT Environment,2026,"COMPUTATIONAL INTELLIGENCE IN SECURITY FOR INFORMATION SYSTEMS, CISIS 2025",0,10.1007/978-3-032-19770-2_17,Proceedings Paper,,WOS:001791178300017,Q3
"Alhawas, S; Rassam, MA","Federated Learning in Edge Computing: Vulnerabilities, Attacks, and Defenses-A Survey",2026,SENSORS,4,10.3390/s26041275,Review,,WOS:001701330600001,Q3;Q10
"Mir, BA; Abbas, SR; Lee, SW",Federated Learning in Healthcare Ethics: A Systematic Review of Privacy-Preserving and Equitable Medical AI,2026,HEALTHCARE,10,10.3390/healthcare14030306,Review,,WOS:001687848900001,Q3
"Bakas, S; Li, XX; Shah, PS; Roth, HR",Federated Learning in Healthcare: From Research to Real-World Deployment,2026,ANNUAL REVIEW OF BIOMEDICAL ENGINEERING,5,10.1146/annurev-bioeng-080125-041414,Review,,WOS:001755685500019,Q3
"Hussain, A; Hussain, A",Federated Learning in Precision Oncology: Bridging Multi-Institutional Artificial Intelligence and Clinical Implementation,2026,AI IN PRECISION ONCOLOGY,0,10.1177/2993091X261468502,Editorial Material,,WOS:001812466200001,Q3
"Neal, JP; Morar, N",Federated Learning is Still Machine Learning! Epistemic vs. Ethical Issues Common Across Medical ML Models,2026,AMERICAN JOURNAL OF BIOETHICS,0,10.1080/15265161.2026.2690937,Editorial Material,,WOS:001841054000001,Q3
"Zhou, YZ; Wang, JX; Qin, YC; Xie, X; Song, ZP; Qi, H",Federated Learning on Heterogeneous and Long-Tailed Data via Disentangled Representation,2026,IEEE TRANSACTIONS ON MOBILE COMPUTING,3,10.1109/TMC.2025.3600767,Article,,WOS:001630333600017,Q3
"Huang, ZW; Huang, W; Jawanpuria, P; Mishra, B",Federated Learning on Riemannian Manifolds with Differential Privacy,2026,MACHINE LEARNING,0,10.1007/s10994-026-07018-w,Article,,WOS:001731718300002,Q3
"Zhou, WX; Zhu, ZY; Xie, MY; Qu, ZH",Federated Learning via TEE-Based Dual-Branch Architecture and Interaction-Aware Pruning,2026,"NETWORK AND PARALLEL COMPUTING, NPC 2025, PT II",0,10.1007/978-3-032-10466-3_34,Proceedings Paper,,WOS:001717902300034,Q3
"Namitha, TN; Raghavendra, S; Vinith, R",Federated Learning with Adaptive Intermediate Model Selection for Predicting IVIG Resistance in Kawasaki Disease,2026,INTERNATIONAL JOURNAL OF ONLINE AND BIOMEDICAL ENGINEERING,0,10.3991/ijoe.v22i02.58737,Article,,WOS:001688750800007,Q3
"Zhu, YH; Luo, C; Wu, K; Yu, JW; Hu, BJ; Huang, L; Xiao, BT",Federated Learning-Based Adaptive Multi-Head Attention Model for Wind Power Forecasting,2026,BIG DATA AND COGNITIVE COMPUTING,0,10.3390/bdcc10050147,Article,,WOS:001774781900001,Q3
"Wang, E; Li, BJ; Liu, WB; Han, ZY; Wang, C; Li, XM; Wu, J",Federated Learning-Based Distributed Data Completion in Sparse Mobile CrowdSensing,2026,IEEE TRANSACTIONS ON MOBILE COMPUTING,0,10.1109/TMC.2025.3640170,Article,,WOS:001732670500027,Q3
"Kandasamy, J; Mahapatra, S; Hajjej, F",Federated Learning-Based Distributed Frequency Control of Networked Microgrids Under PMU Failures Using Fuzzy Neural Network FOPID Controller,2026,IEEE CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING,0,10.1109/ICJECE.2026.3703402,Article; Early Access,,WOS:001868203500001,Q3
"Baloch, M; Honnurvali, MS; Ahmed, T; Sheikh, AM; Chaudhary, ST","Federated Learning-Based Distributed Solar Forecasting for Smart Buildings in Muscat, Oman Using GRU Networks",2026,ENERGIES,1,10.3390/en19112496,Article,,WOS:001789824200001,Q3
"Saad, A",Federated Learning-Based Intrusion Detection System Using Convolutional Neural Networks for IoT Networks,2026,"2026 5TH INTERNATIONAL CONFERENCE ON ELECTRICAL, COMPUTER & TELECOMMUNICATION ENGINEERING, ICECTE",0,10.1109/ICECTE69292.2026.11429438,Proceedings Paper,,WOS:001782900200255,Q3
"Preiss, B; Pappas, G",Federated Learning-Driven Protection Against Adversarial Agents in a ROS2 Powered Edge-Device Swarm Environment,2026,AI,0,10.3390/ai7040127,Article,,WOS:001749204900001,Q3
"Albelwi, N",Federated Learning-Enabled Building Stock Modeling for Privacy-Preserving Embodied Carbon Benchmarking in Residential Construction,2026,BUILDINGS,0,10.3390/buildings16051029,Article,,WOS:001713727800001,Q3
"Chen, YM; Li, RJ; Shao, JW; Sun, LF; Zhang, C; Zhang, J; Li, XL",Federated LoRA Fine-Tuning of LLMs With Only Transmitting Matrix A or B,2026,IEEE TRANSACTIONS ON MOBILE COMPUTING,0,10.1109/TMC.2026.3696859,Article,,WOS:001866205200010,Q8
"Abou el Faouz, S; Souri, A; Inanç, N",Federated Machine Learning Approaches for Cybersecurity Communications in Internet of Drones,2026,AUTOMOTIVE INNOVATION,0,10.1007/s42154-025-00371-x,Article,,WOS:001656579400001,Q3
"Diab, N; Abdallah, M; Salam, MA",Federated Mayfly Optimization for Privacy-Preserving Chronic Kidney Disease Diagnosis,2026,INTERNATIONAL JOURNAL OF ONLINE AND BIOMEDICAL ENGINEERING,1,10.3991/ijoe.v22i01.59629,Article,,WOS:001679472400001,Q3
"Wu, L",Federated Meta-Learning for Open Set Identification with Privacy Preservation,2026,INTERNATIONAL JOURNAL OF COMPUTERS COMMUNICATIONS & CONTROL,0,10.15837/ijccc.2026.3.7033,Article,,WOS:001781243100006,Q3
"Cheng, R; Sun, ZW; Qi, K; Wu, WY; Xu, LL",Federated Multi-View Unsupervised Feature Selection via Bio-Inspired Hierarchical-Cognitive Tianji's Horse Racing Optimization and Tensor Learning,2026,BIOMIMETICS,0,10.3390/biomimetics11050312,Article,,WOS:001774810700001,Q3
"Mao, G; Li, YB; Zhang, YL; Wang, T; Noman, K; Cai, ZQ",Federated Physics-Informed Graph Framework Guided by Multianchors for Heterogeneous Wheeled Robots Collaborative Fault Diagnosis,2026,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,1,10.1109/TII.2025.3638307,Article,,WOS:001663507900001,Q3
"Lee, H; Seo, D",Federated Prototype Adaptation Learning: Personalized and Generalizable Learning in Distributed Networks,2026,IEEE INTERNET OF THINGS JOURNAL,3,10.1109/JIOT.2025.3628875,Article,,WOS:001662974600032,Q3
"Boschero, JC; Oancea, RA; Mazzarella, L; Doeleman, H; Cramer, S",Federated Quantum Machine Learning over Satellite Networks: Toward Scalable Distributed Quantum Classification,2026,ENTROPY,0,10.3390/e28080924,Article,,WOS:001858805200001,Q3
"Li, L; Su, B; Zhangi, SC; Liu, YC; Zheng, JC; Zhang, C; Zhu, LH",Federated Rank Learning with Dimensionality Reduction and Clustering for Electricity Load Forecasting,2026,"KNOWLEDGE SCIENCE, ENGINEERING AND MANAGEMENT, KSEM 2025, PT V",0,10.1007/978-981-95-3061-8_6,Proceedings Paper,,WOS:001717869400006,Q3
"Fu, TX; Hu, J; Min, GY; Khowaja, SA; Singh, K; Dev, K",Federated Retrieval-Augmented Generation-Based LLM for Enhanced Cyber Threat Detection in the Internet-of-Energy,2026,IEEE NETWORK,2,10.1109/MNET.2025.3619162,Article,,WOS:001606855700001,Q3
"Mu, YJ; Shen, C",Federated Split Learning With Improved Communication and Storage Efficiency,2026,IEEE TRANSACTIONS ON MOBILE COMPUTING,7,10.1109/TMC.2025.3591744,Article,,WOS:001630344400030,Q3
"Gobet, E; Grangereau, M",Federated Stochastic Control of Numerous Heterogeneous Energy Storage Systems,2026,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,0,10.1007/s10957-025-02918-8,Article,,WOS:001694436200005,Q3
"Vo, KAT",Federated Swarm Intelligence: A Novel Framework for Collaborative Anomaly Detection in Decentralized IoT Network,2026,"INTELLIGENCE OF THINGS: TECHNOLOGIES AND APPLICATIONS, ICIT 2025, VOL 2",0,10.1007/978-3-032-13254-3_26,Proceedings Paper,,WOS:001819235500026,Q3
"Khan, UH; Khan, R; Alsaedi, T; Chelloug, SA; Alturise, F; Alkhalaf, S",Federated TinyML and digital twin framework for secure and resilient IoMT-based ICU monitoring,2026,SCIENTIFIC REPORTS,0,10.1038/s41598-026-62561-9,Article,,WOS:001866129400001,Q3;Q10
"Mora, A; Valerio, L; Bellavista, P",Federated Unlearning via Distilled Data,2026,IEEE TRANSACTIONS ON MOBILE COMPUTING,2,10.1109/TMC.2026.3666356,Article,,WOS:001785983900013,Q3
"Rishat, MAA; Ovi, PR; Sharma, S","Federated Unlearning: A Systematic Literature Review and Taxonomy of Emerging Methods, Systems, Open Challenges, and Research Agenda",2026,IEEE ACCESS,0,10.1109/ACCESS.2026.3707516,Review,,WOS:001828086600021,Q3
"Desta, N; Vural, I; Paykari, N; Lyons, D; Rahouti, M",Federated Visual Homing for Cooperative Multi-Robot Navigation in GPS-Denied Environments,2026,UNMANNED SYSTEMS TECHNOLOGY XXVIII,0,10.1117/12.3100158,Proceedings Paper,,WOS:001828127000008,Q3
"Tseng, SP; Yeh, LY; Hung, HJ; Shen, CY",Federated Watermarking of Deep Neural Networks with Distributed Verification,2026,"PROCEEDINGS OF THE NINETEENTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING, WSDM 2026",0,10.1145/3773966.3777930,Proceedings Paper,,WOS:001832724900063,Q3
"Utku, A; Barut, A; Alofaysan, H; Henni, MD; Amoozegar, A",Federated agricultural yield forecasting under an Edge-Fog-Cloud framework: a multi-country privacy-preserving approach,2026,DISCOVER COMPUTING,0,10.1007/s10791-026-10291-x,Article,,WOS:001797829000001,Q3
"Carinci, F; Fava, S; Stotl, I; Nicholson, N",Federated analytics for non-communicable disease surveillance in the European health data space: a scoping review and conceptual framework,2026,FRONTIERS IN PUBLIC HEALTH,0,10.3389/fpubh.2026.1911992,Review,,WOS:001867108400001,Q10
"Xuan, SZ; Kumar, PG; Rani, C; Kanagalakshmi, K; RajiniGanth, R; Mahmood, A",Federated and Cross-Domain Student Performance Prediction,2026,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,0,,Article,,WOS:001799324500001,Q3
"Anoosha, S; Seetharamulu, B",Federated and Deep Learning Techniques in Medical Imaging: A State-of-the-Art Innovative Approaches for Brain Tumor Segmentation,2026,"SMART TRENDS IN COMPUTING AND COMMUNICATIONS, SMARTCOM 2025, VOL 2",0,10.1007/978-981-96-7499-2_32,Proceedings Paper,,WOS:001697208300032,Q3
"Awadelkarim, AM",Federated and Interpretable AI Framework for Secure and Transparent Loan Default Prediction in Financial Institutions,2026,MATHEMATICAL AND COMPUTATIONAL APPLICATIONS,0,10.3390/mca31020056,Article,,WOS:001749959400001,Q3
"Adil, M; Javeed, D; Kumar, P",Federated and Quantized-Based Intrusion Detection for Embedded On-Board Automotive Networks,2026,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,1,10.1109/TITS.2025.3645854,Article; Early Access,,WOS:001658726400001,Q3
"Lin, ZQ; Ruszczynski, A",Federated calculation of the free-support transportation barycenter by single-loop dual decomposition,2026,ANNALS OF OPERATIONS RESEARCH,1,10.1007/s10479-025-07004-w,Article; Early Access,,WOS:001653195000001,Q3
"Ozkan, M; Ozkan, CS",Federated carbon intelligence for sustainable AI: Real-time optimization across heterogeneous hardware fleets,2026,MRS ENERGY & SUSTAINABILITY,2,10.1557/s43581-025-00146-1,Article,,WOS:001613206300001,Q3
"Nardi, M; Valerio, L; Passarella, A",Federated clustering: An unsupervised cluster-wise training for decentralized data distributions,2026,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,0,10.1016/j.future.2025.108294,Article,,WOS:001641360800001,Q3
"Liao, XH; Si, ZW; Liu, T; Wu, D; He, BZ; Wang, WY; Su, CH",Federated continual learning with domain-routed historical expert matching for multimodal perception,2026,PATTERN RECOGNITION,0,10.1016/j.patcog.2026.114532,Article,,WOS:001835570400001,Q10
"Marrah, SA; Wang, JH; Koroma, AB; Kamara, GD; Babatunde, OS; Marrah, M; Stamber, RT; Saidu, SE",Federated deep learning for privacy-preserving disease detection in IoT-enabled healthcare systems,2026,FRONTIERS IN COMPUTER SCIENCE,1,10.3389/fcomp.2026.1725597,Article,,WOS:001690785900001,Q3;Q6
"Bala, K; Venu, D; Dudi, BP; Nirmala, V; Kumar, KA; Manohara, M",Federated deep reinforcement Q-learning for secure and energy-efficient data routing in internet of things networks,2026,PEER-TO-PEER NETWORKING AND APPLICATIONS,0,10.1007/s12083-026-02236-4,Article,,WOS:001754139900001,Q10
"Divya, A; Ramesh, S; Chakrasali, SV; Kumar, MK; Taj, M; Ganiya, RK; Rao, JN; Balasubramanian, K; Qamar, S",Federated digital-twin-empowered blockchain architecture for autonomous and resilient smart water management in sustainable cities,2026,SUSTAINABLE COMPUTING-INFORMATICS & SYSTEMS,3,10.1016/j.suscom.2026.101303,Article,,WOS:001694401800001,Q3
"Gallios, G; Demattê, JAM; Tsakiridis, N; Cardoso, MC; Kritharoula, A; Tziolas, N",Federated earth-observation models for collaborative farm-scale soil mapping,2026,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,2,10.1016/j.jag.2025.105067,Article,,WOS:001668039100001,Q3
"Liu, XF; Li, SL; Zhu, Q; Xu, SK; Jin, QY",Federated explainable artificial intelligence framework for real time cardiovascular risk prediction using multimodal data,2026,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0,10.1016/j.engappai.2026.115617,Article,,WOS:001825346400001,Q3
"Gholizade, M; Ruffini, F; Ducange, P; Marcelloni, F","Federated explainable artificial intelligence: roles, architectures, evaluation, and open challenges",2026,EXPERT SYSTEMS WITH APPLICATIONS,0,10.1016/j.eswa.2026.133183,Review,,WOS:001800679000001,Q3
"Fu, XT; Yao, ZW; Xu, Y; Xu, HL; Liao, YM",Federated fine-tuning on heterogeneous data with alternating device-to-device collaboration,2026,COMPUTER NETWORKS,0,10.1016/j.comnet.2025.111931,Article,,WOS:001645450000001,Q8
"Liu, YX; Xu, CY; Zhao, ZH; Wang, YY; He, ZM",Federated graph learning under expressiveness heterogeneity with personalized subgraph selection,2026,KNOWLEDGE-BASED SYSTEMS,1,10.1016/j.knosys.2025.115106,Article,,WOS:001651263100001,Q3
"Jin, ZY; Shan, LL",Federated graph reinforcement learning for joint caching and inference offloading in edge intelligence,2026,PHYSICAL COMMUNICATION,0,10.1016/j.phycom.2026.103233,Article,,WOS:001811051600001,Q10
"Wu, GL; Shi, JY; Zhang, J",Federated heterogeneous graph neural network enhanced by perturbation graph contrastive learning and SpectralNet for privacy-preserving recommendation,2026,KNOWLEDGE-BASED SYSTEMS,1,10.1016/j.knosys.2025.115030,Article,,WOS:001640497800001,Q3
"Rahman, MM; Hossain, S","Federated learning and AI-based ZTA for security, privacy, telemetry, IAM and fileless malware detection and prevention framework: an in-depth review",2026,INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS,0,10.1007/s41060-026-01254-y,Review,,WOS:001855016400001,Q3
"Sindayigaya, JMV",Federated learning and Quantum Computing for cybersecurity in the banking Sector: a systematic review,2026,INTERNATIONAL JOURNAL OF ELECTRONICS AND TELECOMMUNICATIONS,0,10.24425/ijet.2026.157908,Review,,WOS:001845281500020,Q3
"Haghizadeh, A; Ghasemi, L; Derikvand, S",Federated learning approach for high-accuracy flood susceptibility mapping,2026,RESULTS IN ENGINEERING,0,10.1016/j.rineng.2026.110780,Article,,WOS:001765816600001,Q3
"Soomro, PD; Fu, XP; Banbhrani, SK; Ali, A; Asad, M",Federated learning based deep learning framework for robust object detection in indoor and outdoor environments,2026,COMPUTERS & ELECTRICAL ENGINEERING,0,10.1016/j.compeleceng.2025.110910,Article,,WOS:001702928600001,Q3
"Naveenkumar, N; Subarna, TG; Pragadeeswaran, S; Karuppuchamy, V",Federated learning based hybrid Dlbased transformer model for heart disease detection with Explainable AI,2026,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,3,10.1016/j.bspc.2026.110076,Article,,WOS:001726897500001,Q3
"Yang, JH; Jiang, W; Nie, LS",Federated learning based on partial label masking weighted distillation,2026,KNOWLEDGE-BASED SYSTEMS,0,10.1016/j.knosys.2026.116282,Article,,WOS:001783585300001,Q3
