paper_key,title,authors,year,venue,doi,arxiv_id,frozen_backbone,adapter_exchange,p2p_topology,discovery,multi_task_fusion,privacy_dp,no_central_coordinator,notes
10.52202/079017-0461,Federated Fine-tuning of Large Language Models under Heterogeneous Tasks and Client Resources,"Bai J., Chen D., Qian B., Yao L., Li Y.",2024,Advances in Neural Information Processing Systems 37,10.52202/079017-0461,,,,,,,,,
2407.00952,SplitLoRA: A Split Parameter-Efficient Fine-Tuning Framework for Large Language Models,Zheng Lin; Xuanjie Hu; Yuxin Zhang; Zhe Chen; Zihan Fang; Xianhao Chen; Ang Li; Praneeth Vepakomma; Yue Gao,2024,ArXiv,10.48550/arXiv.2407.00952,2407.00952,,,,,,,,
2410.01463,Selective Aggregation for Low-Rank Adaptation in Federated Learning,"Guo P., Zeng S., Wang Y., Fan H., Wang F., Qu L.",2024,International Conference on Learning Representations,10.48550/arXiv.2410.01463,2410.01463,,,,,,,,
2404.18848,FeDeRA: Efficient Fine-tuning of Language Models in Federated Learning Leveraging Weight Decomposition,Yuxuan Yan; Qianqian Yang; Shunpu Tang; Zhiguo Shi,2024,ArXiv,10.48550/arXiv.2404.18848,2404.18848,,,,,,,,
2410.22815,Towards Robust and Efficient Federated Low-Rank Adaptation with Heterogeneous Clients,"Koo J., Jang M., Ok J.",2024,Annual Meeting of the Association for Computational Linguistics,10.48550/arXiv.2410.22815,2410.22815,,,,,,,,
10.18653/v1/2025.naacl-short.30,Towards Federated Low-Rank Adaptation of Language Models with Rank Heterogeneity,"Byun Y., Lee J.",2024,North American Chapter of the Association for Computational Linguistics,10.18653/v1/2025.naacl-short.30,,,,,,,,,
10.1109/GLOBECOM52923.2024.10901572,Federated Low-Rank Adaptation for Large Language Model Fine-Tuning Over Wireless Networks,"Wang Z., Zhou Y., Shi Y., Letaief K.B.",2024,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,10.1109/GLOBECOM52923.2024.10901572,,,,,,,,,
10.1109/TMC.2025.3586644,Adaptive Parameter-Efficient Federated Fine-Tuning on Heterogeneous Devices,"Liu J., Liao Y., Xu H., Xu Y., Liu J., Qian C.",2024,IEEE Transactions on Mobile Computing 24,10.1109/TMC.2025.3586644,,,,,,,,,
10.1109/FLTA63145.2024.10840125,Aggregating Low Rank Adapters in Federated Fine-Tuning,"Trautmann E., Hales I., Volk M.F.",2024,2024 2nd International Conference on Federated Learning Technologies and Applications (FLTA),10.1109/FLTA63145.2024.10840125,,,,,,,,,
10.1109/ICPADS63350.2024.00040,FedMCP: Parameter-Efficient Federated Learning with Model-Contrastive Personalization,"Zhao Q., Qu C., Chen C., Fan M., Wang Y.",2024,2024 IEEE 30th International Conference on Parallel and Distributed Systems (ICPADS),10.1109/ICPADS63350.2024.00040,,,,,,,,,
2308.06522,SLoRA: Federated Parameter Efficient Fine-Tuning of Language Models,Sara Babakniya; Ahmed Roushdy Elkordy; Yahya H. Ezzeldin; Qingfeng Liu; Kee-Bong Song; Mostafa El-Khamy; Salman Avestimehr,2023,ArXiv,10.48550/arXiv.2308.06522,2308.06522,,,,,,,,
10.1145/3682068,Differentially Private Low-Rank Adaptation of Large Language Model Using Federated Learning,"Liu X.-Y., Zhu R., Zha D., Gao J., Zhong S., White M., Qiu M.",2023,ACM Transactions on Management Information Systems 16,10.1145/3682068,,,,,,,,,
10.18653/v1/2023.findings-acl.632,FedPETuning: When Federated Learning Meets the Parameter-Efficient Tuning Methods of Pre-trained Language Models,"Zhang Z., Yang Y., Dai Y., Wang Q., Yu Y., Qu L., Xu Z.",2022,Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2023.findings-acl.632,,,,,,,,,
d96aa291c0c56b9522cd7c901f1acd43818f1db3,FedAdapter: Efficient Federated Learning for Modern NLP,,2022,,,,,,,,,,,
10.1109/FLTA67013.2025.11336447,FedLoRASwitch: Efficient Federated Learning via LoRA Expert Hotswapping and Routing,"Flink J., Khan B., Daneshtalab M.",2025,2025 3rd International Conference on Federated Learning Technologies and Applications (FLTA),10.1109/FLTA67013.2025.11336447,,,,,,,,,
10.18653/v1/2025.naacl-long.201,Sparser Mixture-of-Adapters with Cross-Layer Generalization,"Li Z., Zhou T.",2025,North American Chapter of the Association for Computational Linguistics,10.18653/v1/2025.naacl-long.201,,,,,,,,,
2404.15159,MixLoRA: Enhancing Large Language Models Fine-Tuning with LoRA based Mixture of Experts,Dengchun Li; Yingzi Ma; Naizheng Wang; Zhengmao Ye; Zhiyuan Cheng; Yinghao Tang; Yan Zhang; Lei Duan; Jie Zuo; Cal Yang; Mingjie Tang,2024,ArXiv,10.48550/arXiv.2404.15159,2404.15159,,,,,,,,
2410.18035,MiLoRA: Efficient Mixture of Low-Rank Adaptation for Large Language Models Fine-tuning,"Zhang J., Zhao Y., Chen D., Tian X., Zheng H., Zhu W.",2024,Conference on Empirical Methods in Natural Language Processing,10.48550/arXiv.2410.18035,2410.18035,,,,,,,,
2405.11157,Towards Modular LLMs by Building and Reusing a Library of LoRAs,"Ostapenko O., Su Z., Ponti E.M., Charlin L., Le Roux N., Caccia L., Sordoni A.",2024,International Conference on Machine Learning,10.48550/arXiv.2405.11157,2405.11157,,,,,,,,
2307.13269,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition,Chengsong Huang; Qian Liu; Bill Yuchen Lin; Tianyu Pang; Chao Du; Min Lin,2023,ArXiv,10.48550/arXiv.2307.13269,2307.13269,,,,,,,,
2402.09997,LoraRetriever: Input-Aware LoRA Retrieval and Composition for Mixed Tasks in the Wild,"Zhao Z., Gan L., Wang G., Zhou W., Yang H., Kuang K., Wu F.",2024,Annual Meeting of the Association for Computational Linguistics,10.48550/arXiv.2402.09997,2402.09997,,,,,,,,
10.18653/v1/2023.findings-acl.75,Client-Customized Adaptation for Parameter-Efficient Federated Learning,"Kim Y., Kim J., Mok W.-L., Park J.-H., Lee S.",2024,Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2023.findings-acl.75,,,,,,,,,
2503.12016,A Survey on Federated Fine-tuning of Large Language Models,"Wu Y., Tian C., Li J., Sun H., Tam K., Zhou Z., Liao H., Xiong J., Guo Z., Li L., Xu C.",2025,ArXiv,10.48550/arXiv.2503.12016,2503.12016,,,,,,,,
10.1145/3637528.3671573,FederatedScope-LLM: A Comprehensive Package for Fine-tuning Large Language Models in Federated Learning,"Kuang W., Qian B., Li Z., Chen D., Gao D., Pan X., Xie Y., Li Y., Ding B., Zhou J.",2023,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3637528.3671573,,,,,,,,,
2305.14314,QLoRA: Efficient Finetuning of Quantized LLMs,"Dettmers T., Pagnoni A., Holtzman A., Zettlemoyer L.",2023,Neural Information Processing Systems,10.48550/arXiv.2305.14314,2305.14314,,,,,,,,
10.1007/s11704-024-40663-9,A survey on LoRA of large language models,"Mao Y., Ge Y., Fan Y., Xu W., Mi Y., Hu Z., Gao Y.",2024,Frontiers of Computer Science 19,10.1007/s11704-024-40663-9,,,,,,,,,
