Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID,matched_queries
Cai Q.; Qiao Z.; Yang M.; Luo X.; Xiong H.,Graph Cross-Domain Continual Fine-Tuning via Orthogonal LoRA Routing with Contrastive Expert Specialization,2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,0,10.1145/3774904.3792384,Conference paper,All Open Access; Gold Open Access,2-s2.0-105038564483,Q4
Maheshwari S.; Rajpoot A.S.; Cocarascu O.; Mamta,Improving Dialect Robustness in Large Language Models via LoRA and Mixture-of-Experts,2026,"VarDial 2026 - 13th Workshop on NLP for Similar Languages, Varieties and Dialects, Proceedings of the Workshop",0,10.18653/v1/2026.vardial-1.24,Conference paper,All Open Access; Gold Open Access,2-s2.0-105042279835,Q1
Peng D.; Wang Y.; Cai K.; Ning P.; Xu J.; Liu Y.; Siow Mong Goh R.; Wei Q.; Fu H.,Improving Learning of New Diseases Through Knowledge-Enhanced Initialization for Federated Adapter Tuning,2026,IEEE Transactions on Medical Imaging,1,10.1109/TMI.2025.3596835,Article,,2-s2.0-105012881116,Q3
Chou Y.-H.; Fang R.; Chen H.-W.; Chen M.-S.,LoGIC: Multi-LoRA Guided Importance Consensus for Multi-Task Pruning in Vision Transformers,2026,Proceedings of the AAAI Conference on Artificial Intelligence,0,10.1609/aaai.v40i25.39195,Conference paper,All Open Access; Gold Open Access,2-s2.0-105034735520,Q2
Dolhopolov S.; Honcharenko T.,MACE: Modular Adaptive Code Engine with Context-Aware LoRA Expert Routing and Hierarchical Retrieval-Augmented Generation,2026,CEUR Workshop Proceedings,0,,Conference paper,,2-s2.0-105045005385,Q4
Yu Y.; Xing Y.; Huang Z.; Hong M.; Chen B.; Wang Y.; Yang W.,MT-MoA: A Unified Parameter-Efficient Multi-Task Adaptation Framework Toward Image Coding for Machines,2026,IEEE Transactions on Multimedia,0,10.1109/TMM.2026.3705198,Article,,2-s2.0-105043394795,Q4
He X.; Geng X.; Zhang T.; Yu M.; Zhao Y.; Yang X.; Wu M.; Yu G.,MeLoRA: Probability measures-based low-rank adaptation with Gaussian variational inference,2026,Knowledge-Based Systems,0,10.1016/j.knosys.2026.115318,Article,,2-s2.0-105027837394,Q1
Kong C.; Luo A.; Bao P.; Yu Y.; Li H.; Zheng Z.; Wang S.; Kot A.C.,MoE-FFD: Mixture of Experts for Generalized and Parameter-Efficient Face Forgery Detection,2026,IEEE Transactions on Dependable and Secure Computing,18,10.1109/TDSC.2025.3604443,Article,,2-s2.0-105014603123,Q1;Q4
Kotte V.; Joshi R.; Dutta S.; Kavuru R.R.,Multi-Adapter LLMs: Dynamic Mixture of LoRAs for Scalable Personalization,2026,"2026 International Conference on Smart Futuristic Technology, ICSFT 2026",0,10.1109/ICSFT66733.2026.11507732,Conference paper,,2-s2.0-105041605426,Q2;Q4;Q6
Song X.; He Y.; Peng L.; Gong Y.,Multi-Task Unified Domain Incremental Learning With Domain Difference Adapters,2026,IEEE Transactions on Image Processing,1,10.1109/TIP.2026.3678033,Article,,2-s2.0-105036130173,Q2
Ding D.; Liu Z.; Chen H.,Multi-Task–Driven Adapter-Based Foundation Model for Locomotion Prediction in Virtual Reality,2026,"ACM Transactions on Multimedia Computing, Communications and Applications",0,10.1145/3786206,Article,,2-s2.0-105045276408,Q2
Kim J.; Lee H.,Multi-adapter based Federated Learning Framework for Remaining Useful Life Estimation Considering Heterogenous Local Edge Systems,2026,Industrial Engineering and Management Systems,0,10.7232/iems.2026.25.2.345,Article,,2-s2.0-105044619759,Q2;Q3
Liu H.; Zhang J.; Yu H.; Wei B.; Nie J.; Li S.; Zhou X.,PM-adapter: MoE based dynamic denoising fine-tuning for thermal infrared object detection,2026,Neurocomputing,1,10.1016/j.neucom.2025.131718,Article,,2-s2.0-105018860729,Q4
Jin S.; Xu Y.; Zhao R.; Chen Y.; Li M.,Parameter-Efficient Large Model Transfer and Cloud-Edge Collaborative Inference Method for Edge Devices,2026,"2026 IEEE 6th International Conference on Electronic Technology, Communication and Information, ICETCI 2026",0,10.1109/ICETCI68937.2026.11610756,Conference paper,,2-s2.0-105046518628,Q1;Q10
Chen Z.; Ji Y.; He P.; Wang B.; Shi L.; Zeng Z.; Zhang S.,Per-FedLoRA: Personalized Federated LoRA Fine-Tuning for Multi-Task Large Language Models,2026,"2026 International Wireless Communications and Mobile Computing Conference, IWCMC 2026",0,10.1109/IWCMC69287.2026.11580063,Conference paper,,2-s2.0-105044711122,Q1;Q3;Q9
Alzahrani B.; Yang D.,PrivLoRA: Enhancing Privacy in LoRA-Based Fine-Tuning of Large Language Models for Federated Learning,2026,"2026 International Conference on Computing, Networking and Communications, ICNC 2026",1,10.1109/ICNC68183.2026.11416880,Conference paper,,2-s2.0-105035745189,Q1;Q3
Wu K.; Peng B.; Zhai D.,Spatiotemporal Context-Aware Prompting With Low-Rank Dynamic Routing for Exemplar-Free Video Class-Incremental Learning,2026,IEEE Transactions on Neural Networks and Learning Systems,0,10.1109/TNNLS.2026.3698473,Article,,2-s2.0-105041936873,Q4
Lu J.; Liu H.; Li W.; Zhang Q.,TCPA-MedMTL: A Task-Conditioned Prototype Adapter for Multi-Task Medical Image Classification,2026,"2026 7th International Conference on Computer Vision, Image and Deep Learning, CVIDL 2026",0,10.1109/CVIDL70130.2026.11637571,Conference paper,,2-s2.0-105049122947,Q4
Wang Z.; Wang Z.; Jin H.; Xing J.; Zhang L.,TailorLLM: Collaborative End-Cloud Inference of Large and Small Language Models Based on Low-Rank Adaptation,2026,EUROSYS 2026 - Proceedings of the 2026 European Conference on Computer Systems,0,10.1145/3767295.3769346,Conference paper,All Open Access; Gold Open Access,2-s2.0-105038399738,Q2
Wang Z.; Wang Z.; Xing J.; Wei Y.; Zhong Z.; Zhang L.,Task-Aware Cloud-End Offloading for Vision-Language Model Serving via Dynamic Modality-Specific Adapter Scheduling,2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,0,10.1145/3774904.3792127,Conference paper,All Open Access; Gold Open Access,2-s2.0-105038525416,Q2;Q4
Zhang Y.; Xu Q.; Li Y.; He X.; Chen Z.,Towards Universal Ultrasound Analysis: Parameter-Efficient Foundation Model with Task-Aware Routing for Heterogeneous Multi-Task Learning,2026,Proceedings - International Symposium on Biomedical Imaging,0,10.1109/ISBI61048.2026.11515746,Conference paper,All Open Access; Green Open Access,2-s2.0-105041665956,Q4
Yi L.; Zhang H.; Yu H.; Wang G.; Liu X.; Hu Q.,pFedLoRA: Model-Heterogeneous Personalized Federated Learning With Homogeneous Low-Rank Adapter Sharing on Mobile Edge Devices,2026,IEEE Transactions on Mobile Computing,1,10.1109/TMC.2026.3674996,Article,,2-s2.0-105033401359,Q3
